,Link,Comuna,Camas,Baños,Capacidad,Habitaciones,Precio,Nota,Nnota,Descripción,Titulo1,Titulo2,Servicios,Anfitrion,Registro,Ubides,Ubicacion,Tipo
0,https://www.airbnb.cl/rooms/41591068?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['5 camas'],['1 baño'],['6 huéspedes'],['3 habitaciones'],"['$50,000\xa0CLP\xa0']",[],[],"['Condominio ubicado frente a Mall Puertas del mar, Supermercado Hiper Lider, Tienda jhonsson etc, a 5 minutos de la playa en vehículo, el departamento está equipado para 6 personas, con TV satelital y WiFi, estacionamiento privado, resguardado por circuito de cámaras instaladas en el condominio, el servicio de guardias trabaja las 24 hrs.', 'Sector céntrico y seguro de la Serena, ubicado en un condominio con seguridad las 24 horas, cuenta con cámaras de seguridad y estacionamiento gratuito.']",['DEPARTAMENTO 410 PUERTAS DEL MAR'],['Vivienda rentada entero - Anfitrión:\xa0Eduardo'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Eduardo'],['Se registró en diciembre de 2018'],"['sector tranquilo, a pasos de mall, playa, supermercado,  parque pedro de valdivia, parque japones entre otros']",[],
1,https://www.airbnb.cl/rooms/31645327?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$32,220\xa0CLP\xa0']",['4.92 ·'],['24 reseñas'],"['Acogedora cabaña de 50mt2 , 01 habitación, living comedor  para 2 personas:', ' Wifi, TV cable, cocina, baño privado, excelente ubicación, cerca de la playa, restaurantes y centros comerciales, fácil locomoción. Ubicado en un barrio tranquilo, con bajo ruido ambiente,  Incluye sábanas y toallas, el entorno lo rodea un hermoso jardín con variadas plantas y cactus, un sector con mesa y asadera, estacionamiento privado y seguro.', 'La habitación con baño privado , terraza con buenas vistas, pieza habilitado con un sillón muy cómodo refrigerador, hervidor, microondas platos vasos, cocina eléctrica de dos platos.']","['Acogedora cabañita en Coquimbo, lugar tranquilo 🏖🌞']",['Casa de huéspedes entero - Anfitrión:\xa0Patricio'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Patricio'],['Se registró en enero de 2019'],"['La Barra de Coquimbo. Los mejores Sandwich, completos, variedad de as, quesadillas, cervezas artesanales, jugos naturales, almuerzos. ', 'Universidad Católica del Norte con sus extensas áreas verdes acuarios y vistas inmejorables.']","['https://maps.google.com/maps?ll=-29.96244,-71.34579&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
2,https://www.airbnb.cl/rooms/47452794?adults=1&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000,"['Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$42,000\xa0CLP\xa0']",['4.69 ·'],['13 reseñas'],"['El edificio cuenta con piscina, sector de acondicionamiento físico y zona para asados con dos quinchos. El depto fue diseñado especialmente para una excelente experiencia. Incluye: escritorio como estación de trabajo, lavadora, 1 televisor smart, 1 televisor QLED 50” de última generación en living, parrilla eléctrica,muebles y camas de excelente calidad. Sábanas de 300 hilos, sandwichera,cafetera nespresso, juguera, hervidor, microondas, refrigerador, entre otros. No se acepta fumar al interior.', 'Todo el departamento y con pago extra a la comunidad áreas comunes como quincho']",['Departamento con vista al mar (Puerta Del Mar)'],['Condo entero - Anfitrión:\xa0Felipe'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Felipe'],['Se registró en abril de 2015'],[],"['https://maps.google.com/maps?ll=-29.89879,-71.2699&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
3,https://www.airbnb.cl/rooms/15726610?adults=1&children=0&infants=0&pets=0&check_in=2024-01-05&check_out=2024-01-10&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['3 camas'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$24,371\xa0CLP\xa0']",['4.96 ·'],['24 reseñas'],"['Es una cabaña interior ubicada a 5 minutos caminando de  playa La Herradura, ideal para pareja sola o con niños ya que cuenta con un sillón cama,  baño privado con agua caliente, cocina americana,  completamente equipada con refrigerador, microondas. Tiene, wifi y tv streaming', 'Lugares de interés: la playa y increíbles vistas. ', 'El alojamiento es bueno para parejas y aventureros. Cuenta con estacionamiento compartido.', 'Ambiente familiar y cercanía a la playa.']",['CABAÑA/ CASA  EN COQUIMBO EN PLAYA LA HERRADURA.'],['Casa de huéspedes entero - Anfitrión:\xa0Michele'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Michele'],['Se registró en febrero de 2016'],"['Zona residencial, muy tranquila, con locales comerciales a una cuadra.']","['https://maps.google.com/maps?ll=-29.985,-71.3594&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
4,https://www.airbnb.cl/rooms/37782379?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000,"['La Herradura, Región de Coquimbo, Chile']",['3 camas'],['1 baño'],['4 huéspedes'],['2 habitaciones'],"['$55,000\xa0CLP\xa0']",['5.0 ·'],['6 reseñas'],"['✨Depto ✨totalmente  equipado para 4 personas (incluidos niños), frente a Playa la Herradura🏖️🌊( pasarela de 3 minutos caminado muy segura para llegar a Playa). Piso 4, con todo lo necesario para que tú y tú familia disfruten de sus vacaciones, cercano a supermercado, restaurantes.', '*Balneario Guanaqueros 15 minutos', '*Balneario Totoralillo 10 minutos.', 'Condominio consta de piscina, quincho, juego para niños, conserjería 24/7 , seguridad. Estacionamiento por Depto, privado.', '🚫NO WIFI', '🚫NO MASCOTAS', 'Dpto Hermoso totalmente equipado, para 4 personas, para una agradable estadía, estacionamiento privado y numerado incluido en subterráneo.✨.']","['✨Family Relax! Frente a Playa Herradura, 2D,1B⛱️✨']",['Apartamento con servicios incluidos entero - Anfitrión:\xa0Nevenka'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Nevenka'],['Se registró en marzo de 2018'],"['Lugar frente a Playa Herradura, con vista a la ciudad. Cercano a restaurantes, balneario la herradura, supermercado, farmacia, bencinera,cajeros y locomoción. Muy cercano a todos los lugares para conocer de la ciudad de Coquimbo, fácil de llegar ya que esta al costado ruta 5.']","['https://maps.google.com/maps?ll=-29.9816,-71.3494&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
5,https://www.airbnb.cl/rooms/817256678659656810?adults=1&children=0&infants=0&pets=0&check_in=2023-02-07&check_out=2023-02-12&previous_page_section_name=1000,"['Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],['\xa0'],[],[],"['Acogedor y conveniente minicasa para dos personas, todos sus espacios son independientes, nada es compartido. Cuenta con una cama de dos plazas, baño, cocina, comedor, sofá, estacionamiento, terraza, zona de juegos infantiles, áreas verdes natural y en pasto sintético, además el sitio cuenta con hermosa vista al mar.']",['Acogedor departamento'],['Minicasa - Anfitrión:\xa0Constanza'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Constanza'],['Se registró en diciembre de 2018'],[],"['https://maps.google.com/maps?ll=-29.96975,-71.32157&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
6,https://www.airbnb.cl/rooms/35522055?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$39,800\xa0CLP\xa0']",['4.95 ·'],['111 reseñas'],"['Exclusivo departamento, moderno, cómodo y seguro. Ideal para una grata estancia de viajeros de paso o escapada. Se encuentra en el piso 15° con una vista panorámica inigualable, amplio balcón.', 'Estacionamiento al interior del recinto, Wifi, gimnasio, quincho, piscina. Lavandería (con tarjeta de prepago).', 'A pasos de Hospital San Pablo, UCN, Estadio Francisco Sánchez Rumoroso, Mezquita.', 'El departamento es hermoso, delicadamente decorado, grandes ventanales y amplio balcón que permiten una vista panorámica insuperable. ', 'Completamente equipado, todo nuevo.']","['Exclusivo, perfecto!! Hermosa vista.']",['Vivienda rentada entero - Anfitrión: Patricia\xa0Angelica'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Patricia Angelica'],['Se registró en mayo de 2019'],[],"['https://maps.google.com/maps?ll=-29.96611,-71.33803&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
7,https://www.airbnb.cl/rooms/30584591?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-06&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['3 camas'],['1 baño'],['4 huéspedes'],['1 habitación'],"['$29,325\xa0CLP\xa0']",['4.19 ·'],['17 reseñas'],"['Departamento habilitado para 4 personas, equipado con todo lo necesario para que  puedan disfrutar de una cómoda estadía. Rodeado de áreas verdes, a solo metros de la playa con excelentes restaurantes que se consiguen caminando, sin necesidad de transporte.  Lugares hermosos y cercanos a visitar, como el Valle del El qui,  observatorios,  Punta de Choro,  Isla Damas., y muchos mas.', 'La Serena con todo su esplendor, casino y el muy  reconocido mercado LA Recova a solo 35 minutos en transporte.', 'El departamento esta enclavado en un barrio residencial, a cuadras del club de yates.', 'No necesita de auto, ni pagar estacionamiento para ir a la playa o ir a un restaurantes, todo lo consigue caminando.']",['agradable y cómodo departamento cerca de todo'],['Condo entero - Anfitrión: Ana\xa0Maria'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Ana Maria'],['Se registró en diciembre de 2018'],"['barrio tranquilo y precioso. No vendedores inoportunos, No exceso de trafico.']","['https://maps.google.com/maps?ll=-29.97826,-71.35022&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
8,https://www.airbnb.cl/rooms/789890340746298265?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000,"['Coquimbo, Chile']",['1 cama'],['2 baños compartidos'],['3 huéspedes'],['1 habitación'],"['$17,500\xa0CLP\xa0']",['5.0 ·'],['4 reseñas'],"['Habitación matrimonial, cama de 2 plazas. Es una verdadera picada del hospedaje. Sencillo, sin nada de lujos, pero confortable y con lo necesario. Ideal para aventureros. a 20 minutos del centro de coquimbo, a 20 minutos del centro de Serena, a 15 minutos de Playa Peñuelas y Casino de Juegos. Para 2 persona idealmente, extra señalar 3 huéspedes en sistema y tiene valor adicional.', 'El espacio es un lugar sencillo, como cualquier lugar del Chile profundo, sin embargo es acogedor. Aunque sin lujos, tienes un lugar tranquilo, la habitacion es linda y tiene lo indispensable para que puedas descansar. Estamos Justo en medio de las comunas de La Serena y Coquimbo. Y hay transporte público para ambas ciudades. ', 'La habitación cuenta con su cama, TV pantalla plana, TV Cable y WiFi. La Casa cuenta con dos baños de uso compartido, también con una cocina para la realización de labores básicas. No hay lujos, es un lugar sencillo pero muy confortable.']",['Habitación Matrimonial N°2'],['Habitación privada en alojamiento - Anfitrión: Juan\xa0Luis'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Juan Luis'],['Se registró en diciembre de 2022'],"['La casa está ubicada a media cuadra de carabineros, y un consultorio con atención médica y urgencias. Con supermercado a algunas cuadras y negocios de barrio múltiples. Con transporte público hacia Coquimbo y La Serena.  Y un buffet low cost a 3 casas de distancia. El barrio no es un lugar turístico, pero tiene la enorme ventaja que desde aquí puedes movilizarte a los mejores lugares turísticos de la región  a solo 15 o 20 minutos.']","['https://maps.google.com/maps?ll=-29.96189,-71.25757&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
9,https://www.airbnb.cl/rooms/42494465?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-11&previous_page_section_name=1000,"['Coquimbo, Chile']",['4 camas'],['1 baño'],['4 huéspedes'],['3 habitaciones'],"['$49,000\xa0CLP\xa0']",[],[],['Relájate con toda la familia en este tranquilo lugar para quedarse.'],['Casa para vacacionar en Coquimbo'],['Alojamiento entero - Anfitrión:\xa0Dolores'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Dolores'],['Se registró en enero de 2017'],[],"['https://maps.google.com/maps?ll=-29.99192,-71.33511&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
