,Link,Comuna,Camas,Baños,Capacidad,Habitaciones,Precio,Nota,Nnota,Descripción,Titulo1,Titulo2,Servicios,Anfitrion,Registro,Ubides,Ubicacion,Tipo
0,https://www.airbnb.cl/rooms/759398378928078753?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-02&previous_page_section_name=1000,"['Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$43,333\xa0CLP\xa0']",['4.86 ·'],['7 reseñas'],"['Disfruta de la sencillez de este alojamiento tranquilo y céntrico. Para disfrutar con una pareja.A pasos del mall , supermercado líder y centro de Coquimbo. A solo minutos de  playas y casino de juegos. Avenida costanera con amplia variedad de restaurantes y pubs', 'Departamento tipo estudio ,un solo ambiente como se ve en la foto principal , ideal para una pareja, full equipado']",['Depto  estudio  con terraza y piscina'],['Alojamiento vacacional entero - Anfitrión:\xa0Marycarmen'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Marycarmen'],['Se registró en noviembre de 2022'],[],"['https://maps.google.com/maps?ll=-29.96276,-71.33546&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
1,https://www.airbnb.cl/rooms/41591068?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['5 camas'],['1 baño'],['6 huéspedes'],['3 habitaciones'],"['$50,000\xa0CLP\xa0']",[],[],"['Condominio ubicado frente a Mall Puertas del mar, Supermercado Hiper Lider, Tienda jhonsson etc, a 5 minutos de la playa en vehículo, el departamento está equipado para 6 personas, con TV satelital y WiFi, estacionamiento privado, resguardado por circuito de cámaras instaladas en el condominio, el servicio de guardias trabaja las 24 hrs.', 'Sector céntrico y seguro de la Serena, ubicado en un condominio con seguridad las 24 horas, cuenta con cámaras de seguridad y estacionamiento gratuito.']",['DEPARTAMENTO 410 PUERTAS DEL MAR'],['Vivienda rentada entero - Anfitrión:\xa0Eduardo'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Eduardo'],['Se registró en diciembre de 2018'],"['sector tranquilo, a pasos de mall, playa, supermercado,  parque pedro de valdivia, parque japones entre otros']",[],
2,https://www.airbnb.cl/rooms/47452794?adults=1&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000,"['Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$42,000\xa0CLP\xa0']",['4.69 ·'],['13 reseñas'],"['El edificio cuenta con piscina, sector de acondicionamiento físico y zona para asados con dos quinchos. El depto fue diseñado especialmente para una excelente experiencia. Incluye: escritorio como estación de trabajo, lavadora, 1 televisor smart, 1 televisor QLED 50” de última generación en living, parrilla eléctrica,muebles y camas de excelente calidad. Sábanas de 300 hilos, sandwichera,cafetera nespresso, juguera, hervidor, microondas, refrigerador, entre otros. No se acepta fumar al interior.', 'Todo el departamento y con pago extra a la comunidad áreas comunes como quincho']",['Departamento con vista al mar (Puerta Del Mar)'],['Condo entero - Anfitrión:\xa0Felipe'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Felipe'],['Se registró en abril de 2015'],[],"['https://maps.google.com/maps?ll=-29.89879,-71.2699&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
3,https://www.airbnb.cl/rooms/647315445811511959?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-12&previous_page_section_name=1000,"['Coquimbo, Chile']",['3 camas'],['1 baño'],['4 huéspedes'],['2 habitaciones'],"['$90,000\xa0CLP\xa0']",['5.0 ·'],['7 reseñas'],"['Relájate en esta escapada única y tranquila, a pasos de la playa, casino Enjoy y Pueblito Peñuelas. ', 'Disfruta de su terraza con espectacular vista al mar, en zona gastronómica y de entretención, con ciclovias y fácil acceso. ', 'Depto totalmente equipado, 2 dormitorios, 1 baño, ropa de cama, toallas,  SmatTV y', 'Wifi.', 'El edificio tiene piscina de temporada, quinchos, lavandería de pago en zonas comunes. Cuenta con  estacionamiento propio, acceso controlado y seguridad las 24 hrs.', 'El departamento cuenta con espacios acogedores de concepto abierto, orientados hacia lindas vistas, ideal para disfrutar de grandiosas panorámicas al mar, amaneceres y atardeceres, desde la tranquilidad de su estar, terraza y dormitorio principal.', 'Los materiales de construcción y terminaciones son de excelente calidad, por ejemplo todas sus ventanas son termopaneles lo cual asegura una temperatura interior confortable, además de permitir la iluminación y ventilación natural de los recintos.', 'Entre sus terminaciones destacan pisos de porcelanatos, muy higiénicos y facil de sanitizar. ', 'Cuenta con cocina americana tipo vitrocerámica  con campana, equipada  con todo lo necesario, para que puedas disfrutar tu estancia. ', 'Para compras y abastecimiento facil,  a la vuelta del depto,  por calle Peñuelas Norte, hay varios locales de comida preparada y minimarket,  donde podrás encontrar productos frescos tales como frutas, verduras, pan, alimentos varios, congelados, bebidas y  licores.', 'La hora del check out es a las 15:00 hrs. para que puedas con tranquilidad preparar tu regreso a tu hogar.']",['Sorprendentes vistas al mar desde un piso 23'],['Vivienda rentada entero - Anfitrión: María\xa0Carolina'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: María Carolina'],['Se registró en junio de 2022'],"['Emplazado en el lindo balneario de Peñuelas, zona turística, gastronómica y cultural, ubicada a 9 kms. del aeropuerto Florida de la Serena. ', 'Sector con playas tranquilas y aptas para el baño, donde podrás hacer deportes náuticos, práctica de pesca, gimnasia entretenida  y disfrutar de tranquilas caminatas por el borde costero.', 'Ubicado en el corazón de Peñuelas, con ciclovía hacia el puerto de Coquimbo y Faro Monumental y con locomoción colectiva próxima al alojamiento. ', 'El edificio se encuentra emplazado detrás del casino Enjoy Coquimbo, a 5 minutos a pie del Pueblito Peñuelas y a 10 del mall Patio Outlet Peñuelas.', 'No olvides visitar la caleta de pescadores, donde podrás conseguir pescados y mariscos frescos, el tradicional sándwich de pescado, ceviches y empanadas, a precios muy convenientes.']","['https://maps.google.com/maps?ll=-29.94631,-71.28886&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
4,https://www.airbnb.cl/rooms/15726610?adults=1&children=0&infants=0&pets=0&check_in=2024-01-05&check_out=2024-01-10&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['3 camas'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$24,371\xa0CLP\xa0']",['4.96 ·'],['24 reseñas'],"['Es una cabaña interior ubicada a 5 minutos caminando de  playa La Herradura, ideal para pareja sola o con niños ya que cuenta con un sillón cama,  baño privado con agua caliente, cocina americana,  completamente equipada con refrigerador, microondas. Tiene, wifi y tv streaming', 'Lugares de interés: la playa y increíbles vistas. ', 'El alojamiento es bueno para parejas y aventureros. Cuenta con estacionamiento compartido.', 'Ambiente familiar y cercanía a la playa.']",['CABAÑA/ CASA  EN COQUIMBO EN PLAYA LA HERRADURA.'],['Casa de huéspedes entero - Anfitrión:\xa0Michele'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Michele'],['Se registró en febrero de 2016'],"['Zona residencial, muy tranquila, con locales comerciales a una cuadra.']","['https://maps.google.com/maps?ll=-29.985,-71.3594&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
5,https://www.airbnb.cl/rooms/771874614900510523?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000,"['Coquimbo, Chile']",['2 camas'],['1 baño compartido'],['3 huéspedes'],['1 habitación'],"['$14,000\xa0CLP\xa0']",['4.40 ·'],['5 reseñas'],"['Disfruta de unas merecidas vacaciones junto a tu acompañante en ""Alojamientos Hildita', 'Contamos con habitaciones  con entrada 100% independiente para mayor privacidad, en sector tranquilo y seguro. ', 'Cuenta con:', '-2 camas de una plaza c/u', '-Escritorio y closet', '-TV Con cable', '-Baño compartido con Calefont', '-área común con microondas/hervidor (sin cocina)', '-Wifi', 'No es centrico pero tiene Locomoción justo en frente para coquimbo y La Serena (7 minutos del centro en colectivo)', 'Solo contamos con un estaconamiento por lo que en caso de requerir debe consultar disponibilidad antes']",['Habitación privada 2 camas Coquimbo'],['Habitación privada en casa de huéspedes - Anfitrión:\xa0Natacha'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Natacha'],['Se registró en abril de 2019'],[],"['https://maps.google.com/maps?ll=-29.97161,-71.32039&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
6,https://www.airbnb.cl/rooms/817414444582921645?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000,"['Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$70,000\xa0CLP\xa0']",[],[],"['Lugar tranquilo y cómodo para disfrutar en familia. Departamento ubicado a solo pasos de la playa y del Casino Enjoy Coquimbo en un sector tranquilo a una cuadra del Pueblito Peñuelas y del Mall Vivo. En un entorno tranquilo y a solo 5 minutos caminando de la playa,  de la Avenida del Mar y los mejores restaurantes y bares de la Avenida del Mar.', 'Cuenta con dos habitaciones y dos baños.', 'Una habitación con cama doble y la otra habitación con dos camas individuales.']",['Depto. frente a Casino Enjoy'],['Vivienda rentada entero - Anfitrión:\xa0Sergio'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Sergio'],['Se registró en enero de 2019'],[],"['https://maps.google.com/maps?ll=-29.94535,-71.28775&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
7,https://www.airbnb.cl/rooms/48384226?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-05&previous_page_section_name=1000,"['Coquimbo, Chile']",['5 camas'],['1 baño'],['4 huéspedes'],['3 habitaciones'],"['$35,000\xa0CLP\xa0']",['4.68 ·'],['53 reseñas'],"['Disfruta de tu estadia en La Serena, departamento ambientado en lo minimalista, con todas las comodidades que necesitas para venir a descansar o hacer negocios.', 'A solo 5 minutos del centro de La Serena y de la playa.', 'Condominio Espacio Urbano III ', 'A minutos de Supermercado y grandes tiendas.', 'Sábanas y Toallas incluidas.', 'Sin ascensor', 'Departamento con ambientación minimalista.']","['Comodidad, excelente ubicación y Tranquilidad']",['Vivienda rentada entero - Anfitrión:\xa0Alex'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Alex'],['Se registró en septiembre de 2018'],"['Es un Condominio familiar, cómodo y tranquilo. ', 'Servicio de Conserjeria y vigilancia las 24 horas, no hay ascensor']","['https://maps.google.com/maps?ll=-29.89823,-71.25993&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
8,https://www.airbnb.cl/rooms/654554114275861971?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-05&previous_page_section_name=1000,"['Coquimbo, Chile']",['5 camas'],['2 baños'],['6 huéspedes'],['3 habitaciones'],"['$47,600\xa0CLP\xa0']",['4.93 ·'],['15 reseñas'],"['Departamento Nuevo, frente al Mar, 3 Habitaciones, 2 baños, Piso 2, bonita vista a la playa, Coquimbo  y La Serena. ', 'Amplio, estacionamiento, gimnasio']","['Departamento Frente al Mar, 3 piezas, 2 baños.']",['Vivienda rentada entero - Anfitrión:\xa0Rodrigo'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Rodrigo'],['Se registró en diciembre de 2016'],[],"['https://maps.google.com/maps?ll=-29.95829,-71.3096&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
9,https://www.airbnb.cl/rooms/35522055?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000,"['Coquimbo, Región de Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$39,800\xa0CLP\xa0']",['4.95 ·'],['111 reseñas'],"['Exclusivo departamento, moderno, cómodo y seguro. Ideal para una grata estancia de viajeros de paso o escapada. Se encuentra en el piso 15° con una vista panorámica inigualable, amplio balcón.', 'Estacionamiento al interior del recinto, Wifi, gimnasio, quincho, piscina. Lavandería (con tarjeta de prepago).', 'A pasos de Hospital San Pablo, UCN, Estadio Francisco Sánchez Rumoroso, Mezquita.', 'El departamento es hermoso, delicadamente decorado, grandes ventanales y amplio balcón que permiten una vista panorámica insuperable. ', 'Completamente equipado, todo nuevo.']","['Exclusivo, perfecto!! Hermosa vista.']",['Vivienda rentada entero - Anfitrión: Patricia\xa0Angelica'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Patricia Angelica'],['Se registró en mayo de 2019'],[],"['https://maps.google.com/maps?ll=-29.96611,-71.33803&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']",
