,Link,Comuna,Camas,Baños,Capacidad,Habitaciones,Precio,Nota,Nnota,Descripción,Titulo1,Titulo2,Servicios,Anfitrion,Registro,Ubides,Ubicacion
0,https://www.airbnb.cl/rooms/54022992?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['2 camas'],['1 baño'],['3 huéspedes'],['1 habitación'],"['$60,000\xa0CLP\xa0']",['4.64 ·'],['11 reseñas'],"['Relájate en esta escapada única y tranquila. Disfruta este maravilloso apartamento, bien ubicado en primera línea de playa, con piscinas y buen estacionamiento']",['Maravilloso apartamento frente al mar'],['Condo entero - Anfitrión:\xa0Sofia'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Sofia'],['Se registró en junio de 2022'],"['Buenos restaurantes cerca, también locomoción colectiva para llegar al centro de la ciudad y centros comerciales']","['https://maps.google.com/maps?ll=-29.9059,-71.2736&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
1,https://www.airbnb.cl/rooms/41256598?adults=1&children=0&infants=0&pets=0&check_in=2023-02-02&check_out=2023-02-08&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$48,000\xa0CLP\xa0']",['4.82 ·'],['11 reseñas'],"['Departamento para 4 personas en condominio cerrado, excelente ubicación, cercano a centro de la ciudad, faro, terminal de buses, parque japones y frente a mall puerta del mar. Confortable y limpio.  Cuenta con 2 dormitorios con walk in closet cada uno, 2 baños, cocina, balcón y comedor - estar.', 'Departamento comodo con baños privados cada habitacion. El condominio cuenta con piscina y jardin']",['Confortable Departamento en La Serena'],['Vivienda rentada entero - Anfitrión:\xa0Maria'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Maria'],['Se registró en diciembre de 2017'],"['Sector residencial consolidado, frente a mall puerta del mar, con supermercado, banco y tiendas.']","['https://maps.google.com/maps?ll=-29.89987,-71.26132&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
2,https://www.airbnb.cl/rooms/787555318021060848?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-05&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$54,000\xa0CLP\xa0']",['5.0 ·'],['5 reseñas'],"['Excelente departamento NUEVO, ubicación céntrica. A 5 minutos caminando de la playa y a 5 minutos en auto de supermercado y mall. ', 'Departamento en piso 1 equipado para 4 personas, 2 dormitorios, dos baños, estacionamiento dentro del condominio, así como también piscina, juegos para niños y quincho (aun no cuenta con mesa para compartir ahí mismo)', 'Departamento ubicado en sector puertas del mar, cercano a la playa, al faro, supermercado, mall y centro de La Serena']",['Apartamento en La Serena'],['Vivienda rentada entero - Anfitrión:\xa0Cristopher'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Cristopher'],['Se registró en marzo de 2019'],[],"['https://maps.google.com/maps?ll=-29.90142,-71.26959&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
3,https://www.airbnb.cl/rooms/816809733526610004?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['3 camas'],['2 baños'],['5 huéspedes'],['2 habitaciones'],"['$53,188\xa0CLP\xa0']",[],[],"['Descanse y diviértase con su familia en La Serena, departamento acogedor cerca del mar.']",['Departamento a pasos del mar'],['Vivienda rentada entero - Anfitrión:\xa0Claudio'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Claudio'],['Se registró en enero de 2019'],[],"['https://maps.google.com/maps?ll=-29.92164,-71.27396&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
4,https://www.airbnb.cl/rooms/28523842?adults=1&children=0&infants=0&pets=0&check_in=2023-02-21&check_out=2023-02-26&previous_page_section_name=1000,"['La Serena, Región de Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],['\xa0'],['4.91 ·'],['165 reseñas'],"['Apartamento luminoso, a pasos de la  avenida del mar,  donde podrás disfrutar de una agradable playa, ideal para vacaciones en familia o en pareja, viajes de trabajo o de estudio. En los alrededores podrás  encontrar: minimarket, Panaderias y una diversa zona de restaurantes, ademas de los mejores Pubs de la ciudad, y así poder deleitarse la vida diurna y nocturna en la Serena.', 'Nuestro departamento se encuentra en el piso 7 del edificio, se accede por medio de ascensor, posee una linda vista al Cerro grande y una encantadora pero rápida vista al mar y a la ciudad de Coquimbo, ademas cuenta con cocina equipada, barra americana, sala de estar y buena conexión a Wifi de 300 MB, Smart TV en living y habitación principal con Netflix y TV cable.']","['Departamento a pasos de la playa, 2 a 4 personas']",['Vivienda rentada entero - Anfitrión: Hernán Y\xa0Paola'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Hernán Y Paola'],['Se registró en septiembre de 2017'],"['El vecindario es muy tranquilo, seguro e iluminado. a una cuadra de la avenida del mar y por lo tanto de la playa, en sus alrededores encontraras, supermarket, panaderías, restaurantes y pubs.', 'El condominio esta a:', '2.8 km del Mall Plaza La Serena', '3.1 km del faro', '3.3 km de la Avenida Francisco Aguirre ', '7.0 km del Aeropuerto La Florida']","['https://maps.google.com/maps?ll=-29.93165,-71.27873&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
5,https://www.airbnb.cl/rooms/721807439741071318?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$43,200\xa0CLP\xa0']",['4.73 ·'],['15 reseñas'],"['Disfruta de la sencillez de este alojamiento tranquilo y céntrico. con muy buena ubicación. Cerca de universidades, supermercados, farmacia, bancos, hospital de la serena, y buena conectividad con aeropuerto.']",['Departamento entero en la serena.'],['Alojamiento vacacional entero - Anfitrión:\xa0Francisco'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Francisco'],['Se registró en diciembre de 2017'],"['Sector cuenta con supermercado, farmacia, estaciones de servicio.']","['https://maps.google.com/maps?ll=-29.92017,-71.23858&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
6,https://www.airbnb.cl/rooms/30509561?adults=1&children=0&infants=0&pets=0&check_in=2023-02-02&check_out=2023-02-07&previous_page_section_name=1000,"['La Serena, Región de Coquimbo, Chile']",['1 cama'],['1 baño'],['2 huéspedes'],['1 habitación'],"['$34,800\xa0CLP\xa0']",['4.92 ·'],['52 reseñas'],"['Departamento interior independiwnte antisismico, ubicado en zona segura de la ciudad, ubicado en sector residencial tranquilo, cercano a centros comerciales y de rápida conectividad']",['La Casita de Lina'],['Suite de invitados entero - Anfitrión: Lina\xa0Alejandra'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Lina Alejandra'],['Se registró en diciembre de 2018'],['Cisterna Sur es un sector de La Serena muy tranquilo y con muy buena conectividad...'],"['https://maps.google.com/maps?ll=-29.92647,-71.25176&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
7,https://www.airbnb.cl/rooms/54351639?adults=1&children=0&infants=0&pets=0&check_in=2023-02-02&check_out=2023-02-08&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['3 camas'],['1 baño'],['4 huéspedes'],['2 habitaciones'],"['$60,500\xa0CLP\xa0']",['4.86 ·'],['37 reseñas'],"['Disfruta de una acogedor departamento. Con quincho, piscina, estacionamiento y areas verdes a pasos del centro de la ciudad.', 'Tenemos para ofrecer, piscina para adultos y niños, estacionamiento gratuito, quincho, bicicletero y areas verdes para sentarse comodamente a descanzar.']",['Cómodo departamento a pasos del centro.'],['Alojamiento vacacional entero - Anfitrión: Karina\xa0Andrea'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Karina Andrea'],['Se registró en enero de 2022'],"['Condominio cerrado y vigilado, con portería. Muy tranquilo y seguro. El sector cuenta con panadería, minimarket, tienda de mascotas, barberia y cafetería.']","['https://maps.google.com/maps?ll=-29.89237,-71.25202&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
8,https://www.airbnb.cl/rooms/803053634148126104?adults=1&children=0&infants=0&pets=0&check_in=2023-02-20&check_out=2023-02-25&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['1 cama'],['1 baño compartido'],['2 huéspedes'],['1 habitación'],"['$25,000\xa0CLP\xa0']",[],[],"['**  Sus atractivos van desde excelentes playas, centros comerciales, recorridos históricos y cercanía del Valle de Elqui. ', '** Disfruta del fácil acceso a todos estos lugares desde este encantador espacio para quedarte. ', '** Habitación con cama dos plazas. ', '**  Desayuno. Sándwich caliente, jugo, té o café. ', '** Contaras con agua caliente para tomar te y cafe durante todo el día.', '** Disponible para uso, cubiertos  platos y vasos en comedor al aire libre.']",['IV) Habitación en Hostal Baño Compartido'],['Habitación privada en bed and breakfast - Anfitrión:\xa0Monica'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Monica'],['Se registró en enero de 2023'],[],"['https://maps.google.com/maps?ll=-29.9,-71.25028&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
9,https://www.airbnb.cl/rooms/35033610?adults=1&children=0&infants=0&pets=0&check_in=2023-02-21&check_out=2023-02-27&previous_page_section_name=1000,"['La Serena, Coquimbo, Chile']",['3 camas'],['2 baños'],['4 huéspedes'],['2 habitaciones'],"['$47,167\xa0CLP\xa0']",['4.89 ·'],['18 reseñas'],"['Hermoso departamento en condominio privado con estacionamiento propio, a pasos de la playa, humedal del río Elqui, centro histórico de la ciudad y en la puerta de acceso al valle del elqui.', 'ideal para disfrutar con familia y tener un punto de partida a nuevas aventuras.', 'Departamento en Piso 6to, con hermosa vista al amanecer por el oriente, cómodo y acogedor, edificio súper seguro con sistema de tele-vigilancia y ascensores disponibles.']","['Depto en Puertas del Mar, Valle de Elqui y Playa.']",['Condo entero - Anfitrión:\xa0Victor'],"[<Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>, <Element 'div' class=('_19xnuo97',)>]",['Anfitrión: Victor'],['Se registró en mayo de 2019'],"['Disfrute en un ambiente tranquilo, cercano a centros comerciales, centro histórico de la ciudad, gran conectividad con ruta 5 y ruta 41 al valle del elqui, cercano a Faro monumental y hermosa playa de La Serena.']","['https://maps.google.com/maps?ll=-29.89664,-71.25845&z=14&t=m&hl=es&gl=CL&mapclient=apiv3']"
