,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Depto. con vista y acceso a playa La Herradura,Condo entero,Coquimbo,Región de Coquimbo,4,3,2, Habitación,2,privado,35.0,-29.981,-71.3508,"https://maps.google.com/maps?ll=-29.981,-71.3508&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento en piso 9 equipado para 4 personas, con puerta de acceso directo a una de las playas más hermosas de Chile, ""La Herradura"" y de aguas tranquilas. Además, a 10 Km. se encuentra la ciudad de La Serena  y en los alrededores podrás disfrutar  del Valle de Elqui a 70 Km.
La piscina se encuentra abierta generalmente entre diciembre y febrero. (Los Lunes cerrado) Durante el resto del año, en general, está cerrada. Sugiero a mis huéspedes que le guste la playa más que solo piscina.


El departamento está completamente equipado para 4 personas y cuenta con vista hermosa al mar. Tiene 2 dormitorios y 2 baños. El condominio tiene acceso directo a la playa. Cuenta, además, con piscina (no muy grande) el cual se deben respetar las reglas que establece el condominio y cuenta con estacionamiento gratuito. La piscina en general se encuentra habilitada para el baño en temporada de verano y cerrada el resto del año por frío. Será abierta en el verano 2023 pero, dependiendo de las circunstancias podrían haber aforos máximos y cumplir las exigencias del condominio. No es una piscina muy grande por lo que sugiero que mis huéspedes prefieran playa más que piscina.",['Vista al mar'],4.93,91,María Luisa,07-2017,https://www.airbnb.cl/rooms/19876363?adults=1&children=0&infants=0&pets=0&check_in=2023-03-09&check_out=2023-03-16&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
1,☀️Moderno Depto. c/Jardín en Puerto Velero. Full.⛵️,Vivienda rentada entero,Puerto Velero,Coquimbo,6,5,2, Habitación,2,privado,120.0,-30.23764,-71.47635,"https://maps.google.com/maps?ll=-30.23764,-71.47635&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Exquisito departamento 2D 2B en primer piso con linda vista, terraza completa y salida directa a Jardín. Ideal para familias con niños. Edificio de sólo 6 años, mobiliario e implementos de alto nivel, comprados en 2022. Tranquila ubicación. Ascensor. Calefacción. Piscina a pasos. 
1 estacionamiento privado (consultar por 2º estacionamiento).
Toallas de baño y ropa de cama incluidas.
Wifi rápido.
Cerradura digital, acceso sin llave 24/7.
-Se permiten perritos pequeños a solicitud-
Superhost.


Amplia sala de estar de espacio abierto con linda mesa de comedor, sofá, gran SmartTV y calefacción central

Terraza amplia, con living, comedor y salida directa al jardín.

Cocina de espacio abierto, integrada con sala de estar, totalmente equipada con implementos de alta calidad. Amplio refrigerador de puerta francesa. Logia con lavadora-secadora nueva.

Dormitorio principal: cama tamaño king, almohadas y ropa de cama de alta calidad. Baño en suite.

Segundo dormitorio: 4 colchones en 2 camarotes (3 colchones de 1 plaza y 1 colchón de 1,5 plazas). Almohadas y ropa de cama de alta calidad. 

Excelente para niños pequeños por su salida directa al jardín. 

Smart TV Samsung en Estar y Dormitorio Principal con servicios de streaming habilitados (Disney+, Star+, HBO Max, Amazon Prime).

Limpieza y desinfección: Entendemos las dudas por la Pandemia y estamos siguiendo todas las recomendaciones de aseo y desinfección que nos da Airbnb para máxima tranquilidad con un equipo de aseo y una coordinadora que se encarga personalmente de ello.","['Acceso a la playa', 'Frente a la playa']",5.0,24,Alejandro,05-2014,https://www.airbnb.cl/rooms/566841627063642150?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
2,Depto. recién renovado - Zona libre Tsunami,Vivienda rentada entero,Coquimbo,Región de Coquimbo,6,3,2, Habitación,2,privado,28.636,-29.96006,-71.34082,"https://maps.google.com/maps?ll=-29.96006,-71.34082&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"El departamento (74 metros cuadrados) cuenta con dormitorio matrimonial con baño, pieza de visitas (dos camas), baño de visitas, un  living comedor con sofá cama de plaza y media.   TV Directv Glod.  El edificio  esta ubicado a 5 min. caminando del centro de Coquimbo y a 7  min. en vehículo de la playa la Herradura y playa de coquimbo. El departamento tiene mallas de protección para niños. Vista a toda la bahía de Coquimbo y la Serena desde el mirador que se encuentra arriba del edificio.


Este departamento esta ubicado en un edificio que esta a 5 minutos caminando del Mall Coquimbo  y 7 minutos en vehículo de la Playa de La Herradura y de la Playa de Coquimbo.",['Cocina'],4.78,96,Humberto,05-2013,https://www.airbnb.cl/rooms/16670535?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
3,La Serena maravillas de Chile,Condo entero,La Serena,Región de Coquimbo,4,6,3, Habitación,2,privado,28.0,-29.89289,-71.25107,"https://maps.google.com/maps?ll=-29.89289,-71.25107&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"El depto tiene cerca dos supermercados y esta cinco minuto en auto a la costanera Av del mar, donde encontrarás restaurantes ,bares y paseos en  bicicletas, condominio con seguridad 24 hrs y estacionamiento privado, y bastante locomoción.

El espacio
Tres dormitorios, dos baños cocina americana equipada  balcón, lugar tranquilo.Terraza con vista a la horizonte con puesta de sol.",['Cocina'],4.51,69,Marcelo,06-2018,https://www.airbnb.cl/rooms/25921153?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
4,★ Primer Piso Primera Línea al lado de la Playa! ★,Condo entero,Puerto Velero,Coquimbo,8,7,3, Habitación,2,privado,106.732,-30.2408,-71.4765,"https://maps.google.com/maps?ll=-30.2408,-71.4765&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Probablemente el mejor (o uno de los mejores) departamento en todo Puerto Velero. La mejor ubicación, Primera Línea y Primer Piso! A menos de 50 metros de la playa con bajada directa, la mejor vista,  amplio jardín privado, terraza, hamaca, reposeras. Departamento amplio y equipado para disfrutar de unas vacaciones inolvidables. Sencillamente un estándar superior a otros departamentos de Puerto Velero!


✓Exclusivo departamento ✓ Primer piso ✓Primera Línea ✓La mejor vista despejada ✓Jardín privado amplio ✓Acceso directo a la playa a pasos de distancia ✓Completamente remodelado y equipado ✓ Espacioso living comedor, cocina, terraza ✓Todas las habitaciones incluyendo cocina con vista al mar, la playa Socos y la península de Tongoy ✓Cuenta con 3 dormitorios y 2 baños ✓No hay camas en comedor, living ni sofá-camas ✓Estacionamiento privado con toldo incluido ✓Disfrutarás del departamento completo.

✓Reposeras ✓Hamaca ✓Mesa de terraza ✓Wifi gratuito ✓2 Smart TV's LED con TV-Cable ✓Máquina Nespresso ✓3 Estufas Eléctricas ✓Ventanas Termopanel ✓Cocina amplia y equipada ✓Lava Vajillas ✓Horno eléctrico ✓Microondas ✓Lavadora/Secadora  ✓Plancha ✓Secador de pelo.

SIN CARGO ""TARIFA POR SERVICIO"": A diferencia de otras publicaciones nosotros no cobramos ""Tarifa por servicio"". Te invitamos a comparar el costo total.",['Vista al mar'],4.82,17,Daniel,11-2017,https://www.airbnb.cl/rooms/48301966?adults=1&children=0&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
5,Pulcro y luminoso departamento en Avenida Pacífico,Vivienda rentada entero,La Serena,Región de Coquimbo,5,4,2, Habitación,2,privado,46.667,-29.9312,-71.2784,"https://maps.google.com/maps?ll=-29.9312,-71.2784&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"55 metros cuadrados con un lindo balcón. Ubicado a pasos de 4 esquinas y de la avenida del mar. Encontrarás diversión y tranquilidad a la vez.

Departamento full equipado  y pensado para que no te falte nada durante la estadía. Cuenta con mallas de seguridad en balcón y ventanas. Puedo habilitar cuna para bebé. 

Nota: la piscina y quincho están sujetos a disponibilidad según mantenciones y reparaciones.


El edificio tiene 8 pisos y el departamento está en el piso 6. Caminando se encuentra a 4 minutos de la playa (avenida del mar / 4 esquinas). Ideal para familias, parejas o viajes de trabajo. Cuenta con tv con cable, wifi, lavadora, entre otros.",['Acceso a la playa'],4.95,164,Ian,12-2016,https://www.airbnb.cl/rooms/16837837?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
6,"♥ Tu Destino, Tu Vista, Tu SPA ☀",Vivienda rentada entero,Coquimbo,Región de Coquimbo,4,3,2, Habitación,2,privado,85.0,-29.9825,-71.3522,"https://maps.google.com/maps?ll=-29.9825,-71.3522&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Nuestros huéspedes lo dicen: Es el lugar perfecto para vacaciones o escapes de la ciudad ☀.
Te ofrecemos un lugar Nuevo e Impecable, con una Vista infinita al mar, Spa,  Acceso directo a la playa, Piscina, ¡y mucho más!
Tendrás 2 habitaciones, 2 baños completos, cocina full-equipada, TV cable, HBO Max, Wifi, Audio bluetooth, Libros y  más. ¡Nuestra hospitalidad hará que te sientas como en casa!. 
Nos encargaremos de que tu experiencia sea increíble y garantizamos que vas a volver a visitarnos ♥.


Completamente equipado (utensilios de cocina, ollas, vajilla, cubiertos, vasos, copas, ... ¡todo lo que imaginas! ).
Incluye sistema de sonido portátil Bose (bluetooth), WiFi de alta velocidad y calidad, HBO Max, TV cable, libros, revistas, 1 silla de playa, sombrilla y mucho más. ¿Necesitas algo adicional? ¡Consúltanos y veremos cómo ayudarte!",['Vista a la marina'],4.98,128,Carlos,06-2017,https://www.airbnb.cl/rooms/19311735?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
7,☼ Primer Piso Primera Línea al lado de la Playa! ☼,Condo entero,Puerto Velero,Coquimbo,5,4,2, Habitación,2,privado,97.613,-30.2411,-71.4767,"https://maps.google.com/maps?ll=-30.2411,-71.4767&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Probablemente el mejor departamento en todo Puerto Velero. La mejor ubicación, Primera Línea y Primer Piso! A menos de 50 metros de la playa con bajada directa, la mejor vista,  amplio jardín privado, terraza, hamaca, reposeras. Departamento amplio y equipado para disfrutar de unas vacaciones inolvidables. Sencillamente un estándar superior a otros departamentos de Puerto Velero!


✓Exclusivo departamento ✓ Primer piso ✓Primera Línea ✓La mejor vista despejada ✓Jardín privado amplio ✓Acceso directo a la playa a pasos de distancia ✓Completamente remodelado y equipado ✓ Espacioso living comedor, cocina, terraza ✓Todas las habitaciones incluyendo cocina con vista al mar, la playa Socos y la península de Tongoy ✓Cuenta con 2 dormitorios y 2 baños ✓No hay camas en comedor, living ni sofá-camas ✓Estacionamiento privado con toldo incluido ✓Disfrutarás del departamento completo.

✓Reposeras ✓Hamaca ✓Mesa de terraza ✓Wifi gratuito ✓2 Smart TV's LED con TV-Cable ✓Máquina Nespresso ✓3 Estufas Eléctricas ✓Ventanas Termopanel ✓Cocina Equipada ✓Lava Vajillas ✓Horno eléctrico ✓Microondas ✓Lavadora/Secadora  ✓Plancha ✓Secador de pelo.

IMPORTANTE: Este arriendo para 5 o menos huéspedes no tendrá disponible una de las habitaciones extra que tiene (permanecerá cerrada). Consulte la posibilidad de agregar una habitación adicional para 3 personas por un cargo extra (Para 8 personas en total).

SIN CARGO ""TARIFA POR SERVICIO"": A diferencia de otras publicaciones nosotros no cobramos ""Tarifa por servicio"". Te invitamos a comparar el costo total.",['Vista al jardín'],5.0,27,Daniel,11-2017,https://www.airbnb.cl/rooms/49547795?adults=1&children=0&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
8,Hermoso dpa a una cuadra de la playa vistas al mar,Vivienda rentada entero,La Serena,Coquimbo,5,4,3, Habitación,2,privado,54.0,-29.92163,-71.27359,"https://maps.google.com/maps?ll=-29.92163,-71.27359&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento a una cuadra de Avenida del Mar.

El espacio
Cómodo departamento, equipado para 5 personas, a solo una cuadra de Av. del Mar. Muy bien ubicado, cuenta con estacionamiento, Internet, televisor y vista al mar.",['Vista a la playa'],4.96,27,Javi,11-2019,https://www.airbnb.cl/rooms/47022556?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
9,Depto de 2piezas matrimoniales muy cercano a playa,Vivienda rentada entero,La Serena,Coquimbo,4,2,2, Habitación,2,privado,48.714,-29.92123,-71.27503,"https://maps.google.com/maps?ll=-29.92123,-71.27503&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento completamente equipado, a sólo 1 cuadra la avenida del mar. Inmejorable ubicación, cerca de la playa pero a la vez muy tranquilo. Dos piezas equipadas con camas dobles (una de 2 plazas en pieza principal, y una tamaño full en segunda pieza). 
Cuenta con televisión, microondas, plancha, secador de pelo, calefactor, lavadora y parrilla eléctrica. 
Equipado para un máximo de 4 personas.
Ubicado en un 4tp piso, en edificio de 10 pisos con ascensor. Vista al norte


Hermoso departamento, con todo lo necesario para una cómoda estadía (parrilla eléctrica, plancha, secador de pelo, microondas, wifi, netflix, zapping tv).
A sólo una cuadra de la playa, cercano a restaurantes, bares, cafés. Muy tranquilo en las noches para un buen descanso.",['Acceso la playa Público o compartido'],4.96,72,Alicia,04-2013,https://www.airbnb.cl/rooms/45690885?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=1132d5b9-6293-4191-977f-40fc6bd69b85
