,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripción,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Departamento La Serena frente a la playa y Enjoy,Apartamento con servicios incluidos entero,Coquimbo,6,5,3, Habitación,2,privado,"100,000",-29.94517,-71.29044,"https://maps.google.com/maps?ll=-29.94517,-71.29044&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Frente al mar,  primera línea de la playa,  al lado del casino Enjoy. Vista directa al mar.
Edificio con todas las comodidades,  piscinas, gimnasio, lavandería, portería 24 horas, estacionamiento cubierto. A pocos pasos de los mejores restaurantes, minimarkets, ciclovía y a 20 minutos del aeropuerto de Coquimbo.
Departamento completamente equipado,  con 3 habitaciones,  para 6 personas. Cuenta con tv por cable, internet, cocina equipada, jacuzzi en alcoba principal, ropa de cama y toallas.


El departamento tiene 100m2, cuenta con 3 habitaciones, la alcoba principal es de gran tamaño, con jacuzzi. La segunda y tercera habitación cada una tiene dos camas plaza y media.  La terraza tiene vista directa al mar, con mesa y silla de comedor.","['Acceso a la playa', 'Frente a la playa']",4.73,45,Nohelia,09-2018,https://www.airbnb.cl/rooms/53121256?adults=1&children=0&infants=0&pets=0&check_in=2023-03-12&check_out=2023-03-17&previous_page_section_name=1000
1,Aqua III La Serena,Apartamento con servicios incluidos entero,La Serena,6,5,3, Habitación,2,privado,"120,000",-29.91665,-71.2761,"https://maps.google.com/maps?ll=-29.91665,-71.2761&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Espacio tranquilo, diseñado para descansar y disfrutar del un grato lugar y su entorno.","Disfruta de un lugar muy amplio y cómodo para descansar y disfrutar solo o con familia, ideal para ir de vacaciones y aprovechar las bondades del mar, su comida, sus vinos y la magía y energía de los valles.

El espacio
Departamento amplio, con gran terraza y vista a la bahía, ubicado frente al mar, cercano al faro de la Serena, cercano a restaurantes y bares.",['Vista a la bahía'],4.92,26,Mario Espoz,07-2017,https://www.airbnb.cl/rooms/49294085?adults=1&children=0&infants=0&pets=0&check_in=2023-02-22&check_out=2023-02-27&previous_page_section_name=1000
2,Departamento en Av. Pacifico 2D 2B,Apartamento con servicios incluidos entero,La Serena,6,4,2, Habitación,2,privado,"55,000",-29.92147,-71.27381,"https://maps.google.com/maps?ll=-29.92147,-71.27381&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cómodo departamento equipado completamente para 5 o 6 personas, consta  de 2 habitaciones y 2 baños.

Departamento en segunda línea, ubicando en avenida pacifico a pasos de de la playa (una cuadra). Muy cerca de variados restaurantes de la Av. Del mar.
Departamento cuenta con cama de 2 plazas en habitación matrimonial.
En segunda habitación cuenta con cama de 1 plaza y 1 camarote, ademas cuenta con un futón cama en living.


Los huéspedes podrán hacer uso de la piscina sin ningún cargo
Uso de quincho  tiene un cargo de $10.000",['Acceso a la playa'],4.92,37,Geraldine,01-2020,https://www.airbnb.cl/rooms/47471717?adults=1&children=0&infants=0&pets=0&check_in=2023-04-03&check_out=2023-04-08&previous_page_section_name=1000
3,"Departamento, Hermosas vistas al océano. La Serena",Apartamento con servicios incluidos entero,La Serena,6,4,3, Habitación,2,privado,"150,000",-29.92054,-71.27603,"https://maps.google.com/maps?ll=-29.92054,-71.27603&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El condominio se encuentra en el barrio costero, Avenida del mar.","Departamento en primera línea de playa con hermosas vistas panorámicas al océano. 3 habitaciones, todas con vistas al mar + 2 baños completos + 2 espaciosas terrazas abiertas. Cocina full equipada, abierta e integrada al living- comedor +1 sofa cama Futón. El condominio cuenta con sector de BBQ grill al aire libre + 3 piscinas + lavandería + 1 estacionamiento privado techado y estacionamiento para visitas. Estamos en Av. del mar. Cercano a puntos turísticos regional.


Amplio departamento de 110mts incluye 2 espaciosas terrazas abiertas panorámicas con vistas al océano. 3 habitaciones full equipadas en total son 4 camas + 1 Futón en el Iiving comedor de 1plaza y 1/2.",['Vista a las montañas'],5.0,3,Maria Jose,09-2017,https://www.airbnb.cl/rooms/739706516651047475?adults=1&children=0&infants=0&pets=0&check_in=2023-02-27&check_out=2023-03-06&previous_page_section_name=1000
4,"Espectacular depto Av Del Mar, 6 prs",Apartamento con servicios incluidos entero,La Serena,6,6,3, Habitación,2,privado,"76,167",-29.9181,-71.2753,"https://maps.google.com/maps?ll=-29.9181,-71.2753&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Conserjeria 24/7,"En plena avenida del mar, maravilloso departamento
full amoblado. 
Wifi  + tv cable, 2 TV 

a pasos de restaurants, 
Excelente ubicación, avenida del mar 2450

3 Habitaciones + 2 baños + Terraza+ Cocina + Living Comedor
Capacidad 6 personas (5 camas) +estacionamiento

No se proporcionan sábanas ni toallas
No se admiten mascotas


amplio deparamento, muy cómodo
atardeceres increibles",['Vista al mar'],,,Katherine,07-2020,https://www.airbnb.cl/rooms/692813718919764807?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000
5,"Avenida del Mar, amplio y equipado",Apartamento con servicios incluidos entero,La Serena,8,5,3, Habitación,2,privado,"170,000",-29.927,-71.2785,"https://maps.google.com/maps?ll=-29.927,-71.2785&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","ubicado en avenida del mar con 4 esquinas, excelente conectividad, cercano a restaurants, almacenes.","Este lugar tiene la mejor ubicación de la serena, en avenida del mar con cuatro esquinas, 

Acogedor departamento, amplios espacios, terraza espectacular con la mejor vista de la Serena, 1 estacionamiento 

full equipado. No se proporcionan sábanas ni toallas.

-Conserjería 24/7
Depto 509, hermosa vista orientación norte
No se aceptan mascotas


departamento espacioso, con terraza orientación norte",['Vista a la marina'],4.50,12,Katherine,07-2020,https://www.airbnb.cl/rooms/53460176?adults=1&children=0&infants=0&pets=0&check_in=2023-02-23&check_out=2023-02-28&previous_page_section_name=1000
6,Increíbles vacaciones en la serena con Laguna,Apartamento con servicios incluidos entero,La Serena,6,5,3, Habitación,2,privado,"120,000",-29.8999,-71.2727,"https://maps.google.com/maps?ll=-29.8999,-71.2727&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio muy seguro de alto estart, muy próximo a el faro de la Serena, y la avenida del mar, sitio mas turístico de la ciudad","Este lugar es realmente especial con todo cerca a distancia caminable en primera línea frente al mar, atardeceres en el balcón maravilloso",['Vista a la bahía'],4.87,23,Paola,11-2021,https://www.airbnb.cl/rooms/30093457?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
7,Depto con vista al mar / la serena/ Laguna del mar,Apartamento con servicios incluidos entero,La Serena,5,3,2, Habitación,2,privado,"48,000",-29.89871,-71.27171,"https://maps.google.com/maps?ll=-29.89871,-71.27171&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Excelente departamento, hermosa vista al mar, grandes piscinas y Laguna. Ideal para descansar, relajarse y disfrutar en familia. Ubicado en el corazón de la serena a pasos del faro.

El espacio
Excelente departamento a pasos de la playa y vista al mar.",['Vista a la playa'],4.71,31,Sergio Fabian,01-2019,https://www.airbnb.cl/rooms/32012699?adults=1&children=0&infants=0&pets=0&check_in=2023-03-27&check_out=2023-04-01&previous_page_section_name=1000
8,"Departamento frente al mar, estacionamiento gratis",Apartamento con servicios incluidos entero,La Serena,6,6,2, Habitación,2,privado,"70,000",-29.91545,-71.27556,"https://maps.google.com/maps?ll=-29.91545,-71.27556&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Condominio único con piscinas con olas en la cuarta región . 

El departamento cuenta con 2 Dormitorios  1 suit con baño y otra con baño afuera de la pieza. Ambas camas de 2 pozas con ropa de cama de hotel muy cómodas, un colchón inflable que se llena en 2 min de manera automática. Un sofá cama en el living (2P)

Contarás con una limpieza excepcional ( sanitizamos con cloro cuaternario y lysofol , aspiramos y eliminamos polvo ), ropa de cama y toallas incluidas 

Todos los servicios incluidos !",['Vista al mar'],4.65,66,Diego,07-2021,https://www.airbnb.cl/rooms/52619673?adults=1&children=0&infants=0&pets=0&check_in=2023-03-12&check_out=2023-03-17&previous_page_section_name=1000
9,Lindo departamento en Club Océano La Serena,Apartamento con servicios incluidos entero,Coquimbo,6,5,3, Habitación,2,privado,"139,333",-29.9441,-71.2881,"https://maps.google.com/maps?ll=-29.9441,-71.2881&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento a pasos de la playa, con espectacular vista de la avenida del mar, VISTA LIBRE ,es un sistema de paneles que cierran la terraza y lo trasforma en un ambiente adicional y seguro. Cercano a diferentes restaurantes y casino enjoy. 
Un lugar perfecto y totalmente tranquilo para disfrutar con la familia en vacaciones, acogedor y cálido. 
Totalmente equipado con todo lo necesario, cuenta con Wifi, tv cable, sabanas y toallas, piscina, cocina con todos los implementos, calefacción.


El departamento cuenta con vista libre , que son paneles de vidrio que cierran la terraza y la trasforma en un ambiente adicional , mas seguro y aprovechable",['Cocina'],4.75,8,Luciano,04-2017,https://www.airbnb.cl/rooms/681392603954621090?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-02&previous_page_section_name=1000
