,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripción,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Casa Central-buen acceso.(aeropuerto-terminal bus),Alojamiento entero,La Serena,5,4,3, Habitación,2,privado,"40,000",-29.9096,-71.24463,"https://maps.google.com/maps?ll=-29.9096,-71.24463&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Una zona tranquila, la mayoría son estudiantes y adultos mayores..., con mucha afluencia de vehículos en el día, especialmente martes, jueves y domingo, ya que, a una cuadra está la Feria de Frutas y Verduras.","Habitaciones individuales, equipadas para obtener un buen descanso, para trabajar y/o estudiar.  Grato ambiente,  tranquilo, limpio y seguro. Central, cerca de supermercados, tiendas comerciales, hospital,  bancos , parques, museos. A pasos de feria de frutas  y verduras.   Locomoción  hacia el  valle de Elqui ( Cuna Energética y espiritual de la región), visitas a  10 min. de diversas playas del sector,   zonas astronómicas, gastronómicas, destilados, artesanías y centros turísticos.


Acceso a diversos lugares a visitar, por su cercanía, por su conectividad.  Universidades (estudios),  compras, museos, paseos.","['Acceso a playa Público o compartido', 'Frente a la playa']",4.45,11,Daisy,07-2018,https://www.airbnb.cl/rooms/27112987?adults=1&children=0&infants=0&pets=0&check_in=2023-12-06&check_out=2023-12-11&previous_page_section_name=1000
1,"Casa Luz. EN LA PLAYA. Las Mostazas, Guanaqueros",Alojamiento entero,Coquimbo,8,7,3, Habitación,"3,5",privado,"275,000",-30.18138,-71.39205,"https://maps.google.com/maps?ll=-30.18138,-71.39205&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El condominio esta a 10 minutos en auto del pueblo de Guanaqueros, 20 de Tongoy donde hay almacenes, ferias 2 días a la semana donde comprar frutas verduras y varias cosas más, además de caletas para abastecerse de mariscos y pescado.","Una casa preciosa,  hecha con mucho amor, en la playa misma, patitas en la arena. A 50 pasos del mar. Un lugar tranquilo, maravilloso, de conexión con la naturaleza. Dan ganas de quedarse para siempre :)

Ecológica, bien aislada, full eléctrica, con paneles solares y reutilización de aguas para el jardín. 

Esta dentro del condominio Las Mostazas. En una playa increíble. A 10 mins en auto de Guanaqueros, 20 de Tongoy y 45 de la serena. Llegan las compras del Jumbo a la puerta de la casa.


La casa tiene 3 piezas ricas, cada una con su baño. Más un baño de servicio o de playa y parrilla. Tiene un espacio común grande con una barra y un comedor grande también. Una rica y amplia terraza con parrilla, fogón, estar reposeras y comedor exteriores. 

Hay en la parte de abajo del jardín una zona de fogata, también con parrilla y mesón para hacer un asado mas acampado. 

Dejamos siempre 2 stand up paddle y salvavidas de distintos tamaños para salir a remar por el mar. Una experiencia preciosa.

Hay también para el fin del día, y con la
idea de cuidar el agua, una ducha playera, justo antes de la subida a la casa, para bañarse rápido y sacarse la sal y arena antes de subir.",['Vista al océano'],5.0,15,Camila,05-2014,https://www.airbnb.cl/rooms/53001224?adults=1&children=0&infants=0&pets=0&check_in=2023-03-08&check_out=2023-03-14&previous_page_section_name=1000
2,Descansa Frente al mar,Alojamiento entero,Coquimbo,5,4,3, Habitación,2,privado,"76,475",-29.9574,-71.3084,"https://maps.google.com/maps?ll=-29.9574,-71.3084&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Excelente lugar para salir a pasear, andar en bicicleta, nadar o tomar sol.
A pasos de casino y restaurantes de Peñuelas y avenida del Mar.
Ademas es cercano al Pueblito de Peñuelas, un imperdible de la ciudad.
Excelente conectividad tanto a La Serena como a Coquimbo, así como a la ruta 5.","Relájate con toda la familia en este tranquilo lugar y disfruta de su inigualable vista.
A orillas del mar se ubica este hermoso departamento, a pasos de restoranes y casino, y a minutos de los centros urbanos de La Serena y Coquimbo.
Punto ideal para conocer el Valle del Elqui o conocer el Valle del Encanto o el Parque Fray Jorge.

El espacio
Espacioso y luminoso departamento frente al mar.",['Vista al mar'],4.60,5,Lilian,12-2017,https://www.airbnb.cl/rooms/788447440844761022?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-05&previous_page_section_name=1000
3,casa puertas del mar para 10pax,Alojamiento entero,La Serena,10,7,3, Habitación,2,privado,"100,000",-29.8998,-71.2634,"https://maps.google.com/maps?ll=-29.8998,-71.2634&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",lugar tranquilo para el descanso,"Disfruta estar cerca de  la playa y del centro de la serena.
cercana a parques, supermercado y mall.
lugar tranquilo para descansar.

El espacio
por la mañana puedes oír cantar las  aves . no lograrás escuchar el ruido de la ciudad estando tan cerca.
puedes llegar caminando a la playa y el centro de la Serena y así evitar la congestión vehicular que se produce en época estival.😊
cuenta con 1 cama de 2 plaza.
3 camarotes 
3 futones",['Acceso a la playa'],,,Paula,08-2022,https://www.airbnb.cl/rooms/801699579793699592?adults=1&children=0&infants=0&pets=0&check_in=2023-02-18&check_out=2023-02-25&previous_page_section_name=1000
4,Casa frente playa la serena,Bungalow entero,La serena,9,8,4, Habitación,3,privado,"180,000",-29.94873,-71.29287,"https://maps.google.com/maps?ll=-29.94873,-71.29287&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Es un barrio muy tranquilo , se puede andar en bici, jugar futbol etc","La casa está ubicada en un parque de prados y palmeras en el balneario de Peñuelas frente a la playa. Se trata de un condominio abierto de casas antiguas a pasos del casino y de los restoranes de Los Pescadores.La casa tiene 70 años y se nota el paso del tiempo , pero es muy luminosa y facil , ideal para un publico no demasiado exigente que  no busca lujos sino  pasar un buen rato.


La ubicacion de la casa es muy buena y tiene mucho sol , está a pasos de la playa. Es ideal para niños por su gran jardin","['Acceso a la playa', 'Frente a la playa']",4.86,29,Ana,02-2016,https://www.airbnb.cl/rooms/19801289?adults=1&children=0&infants=0&pets=0&check_in=2023-02-20&check_out=2023-02-25&previous_page_section_name=1000
5,Amplia casa en playa La Herradura para 8 personas,Alojamiento entero,Coquimbo,8,6,3, Habitación,2,privado,"85,000",-29.98461,-71.35636,"https://maps.google.com/maps?ll=-29.98461,-71.35636&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","La Herradura es una playa de aguas tranquilas, casi sin olas, siempre apta para el baño, la mejor playa cerca del sector urbano. El lugar es tranquilo, tiene algunos restaurantes y pubs, plazas, y una hermosa costanera para recorrer de día o de noche. Puedes disfrutar todo el día de la playa, llegar caminando sólo con tu toalla y quitasol en mano. Ideal para quienes tienen niños y aquellos que desean aprovechar cada minuto de las vacaciones.","Disfruta de la cuarta región en una ubicación privilegiada, a una cuadra de la tranquila playa La Herradura. Casa de un piso, tres piezas y dos baños,  amplio patio y estacionamiento, especial para vacacionar con niños o un grupo grande, con espacio y privacidad, en una de las mejores playas de la región de Coquimbo. Se puede llegar caminando al balneario, y pasear por los hermosos alrededores de La Herradura. A 5 minutos en auto del centro de Coquimbo.


La casa es espaciosa y queda muy cerca de la playa, en un sector muy tranquilo donde la oferta de arriendos es generalmente de departamentos. A diferencia de un departamento, en esta casa podrás disfrutar de un lugar independiente, cómodo y amplio, además de la seguridad para tus hijos, al ser de un piso. Cuenta con un estacionamiento en el que caben tres vehículos, y parrilla en un enorme patio. Está recién acondicionada y habilitada con camas nuevas.","['Acceso a la playa', 'Frente a la playa']",4.50,10,Patricia,04-2019,https://www.airbnb.cl/rooms/34391404?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
6,La casa del árbol de Guanaqueros,Alojamiento entero,Coquimbo,6,5,3, Habitación,2,privado,"80,000",-30.1968,-71.4144,"https://maps.google.com/maps?ll=-30.1968,-71.4144&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","En lo general el sector es muy tranquilo y familiar por lo que se pide mantener la música a volumen moderado y respetar a los vecinos residentes. Existe un almacén cercano el cual es habilitado durante las temporadas altas, para realizar otras compras o disfrutar de la gastronomía local deben hacerlo en el ""poblado de Guanaqueros"". Se recomienda viajar con efectivo ya que que sólo hay 2 cajeros automáticos en la zona (1 en Guanaqueros y otro en Tongoy), los que se quedan sin dinero rápidamente. Algunos negocios locales cuentan con Redbanc. La playa se encuentra a aproximadamente 5 min. caminando desde la casa.","La casa está ubicada en el mejor lugar residencial de Guanaqueros, a menos de 5 min. caminando de la playa. Cuenta con todos los servicios básicos, estacionamiento para 2 autos y quincho para asados. Existe un pequeño almacén cercano que es habilitado durante temporadas altas.  Quienes conocen Guanaqueros saben que es un lugar bastante tranquilo para pasar las vacaciones y a quienes no lo hacen los invito a recorrer sus lindas y tranquilas playas.


Cuenta con 3 habitaciones y 2 baños, quincho, balcón con vista al mar y estacionamiento techado, además de perímetro cercado para mayor seguridad de quienes nos visitan.",['Vista al mar'],4.60,10,Maira,05-2015,https://www.airbnb.cl/rooms/29048004?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000
7,Hermosa casa a 100 m de playa y 5 min de Enjoy,Alojamiento entero,La Serena,10,7,4, Habitación,2,privado,"156,429",-29.94297,-71.28735,"https://maps.google.com/maps?ll=-29.94297,-71.28735&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Cornely 2 se encuentra en un sector tranquilo, con vigilancia constante dado que se encuentra en un sector turístico concurrido. Tendrás negocios para realizar compras diarias y lo mejor es que puedes acceder caminando a la playa y al Casino Enjoy (5 minutos)","Cornely 2 es una propiedad Pet Friendly que se encuentra ubicada en un sector privilegiado, tranquilo y su cercano a la playa. En tan solo 2 minutos caminando podrás llegar a la playa, donde podrás disfrutar un hermoso entorno. En Cornely 2 podrás disfrutar del sol en el amplio jardín trasero que cuenta con quincho y todo tener una linda tarde. 
Cercano a nuestra propiedad podrás encontrar arriendo de bicicletas, ferias con food truck, ferias estivales y a pocos metros el casino Enjoy.


La casa cuenta con 4 dormitorios con closet.

2 dormitorios con cama matrimonial y amplio closet.

El tercer dormitorio cuenta con 1 cama de una plaza  y un camarote con 2 camas de 1 plaza.  

El cuarto dormitorio consta con 2 camas de una plaza. 

La casa cuenta con 2 baños, ambos con tina y duchas. 

Las camas cuentas con almohadas, frazadas y cobertores (las sabanas tienen un costo adicional). La cocina esta equipada con refrigerador, hervidor, microondas, tostadora, horno y cocina, ollas, sartenes, vasos, vajillas, platos, tazas.

La propiedad cuenta con un hermoso y amplio patio trasero, el cual cuenta con un quincho para asados y un comedor para disfrutar con los seres queridos. Además de un amplio espacio con plantas y pasto para poder jugar y disfrutar del sol.",['Costa'],5.0,3,Alejandra,01-2018,https://www.airbnb.cl/rooms/36674730?adults=1&children=0&infants=0&pets=0&check_in=2023-02-27&check_out=2023-03-06&previous_page_section_name=1000
8,cómoda y amplia casa av Del Mar 8 personas,Alojamiento entero,La Serena,8,6,4, Habitación,2,privado,"160,000",-29.9426,-71.2873,"https://maps.google.com/maps?ll=-29.9426,-71.2873&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Espectacular vecindario,
A pasos de todo
Media cuadra del mar, cerca de restaurant y comercios en la avenida del mar
Inmejorable ubicación y tranquilidad","Maravillosa casa para disfrutar tus merecidas vacaciones
Muy amplia, 4 dormitorios + 2 baños, cocina, living, comedor, terraza

La mejor ubicación de la Serena, a 1 cuadra del Enjoy y casi emplazado en la avenida del mar, a tan solo 30 metros
zona cercana a todo!!


muy amplio y cómodo",['Vista al jardín'],,,Katherine,07-2020,https://www.airbnb.cl/rooms/786777306686022377?adults=1&children=0&infants=0&pets=0&check_in=2023-02-17&check_out=2023-02-22&previous_page_section_name=1000
9,"Arena y mar, descansa sereno!",Alojamiento entero,Elqui,8,4,3, Habitación,2,privado,"88,033",-29.88252,-71.27285,"https://maps.google.com/maps?ll=-29.88252,-71.27285&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate en esta escapada única y tranquila. A pasos de la playa, con extensas áreas para disfrutar y caminar por la arena mientras el mar moja tus pies. Contamos con todas las comodidades para un excelente descanso, área de comedor al aire libre, escuchar los cantos de los canarios y otras aves. Piscina para los hij@s, area de juegos para ellos. Mini granja educativa para los hijos si quieren aprender más de conejos, gallinas, patos, entre otros. Y muchas más experiencias para ti y tu familia.",['Vista al patio'],,,Edu,04-2016,https://www.airbnb.cl/rooms/792166177114481279?adults=1&children=0&infants=0&pets=0&check_in=2023-02-22&check_out=2023-02-27&previous_page_section_name=1000
