,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,"Casa Luz. EN LA PLAYA. Las Mostazas, Guanaqueros",Alojamiento entero,Coquimbo,8,7,3, Habitación,"3,5",privado,275.0,-30.18138,-71.39205,"https://maps.google.com/maps?ll=-30.18138,-71.39205&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El condominio esta a 10 minutos en auto del pueblo de Guanaqueros, 20 de Tongoy donde hay almacenes, ferias 2 días a la semana donde comprar frutas verduras y varias cosas más, además de caletas para abastecerse de mariscos y pescado.","Una casa preciosa,  hecha con mucho amor, en la playa misma, patitas en la arena. A 50 pasos del mar. Un lugar tranquilo, maravilloso, de conexión con la naturaleza. Dan ganas de quedarse para siempre :)

Ecológica, bien aislada, full eléctrica, con paneles solares y reutilización de aguas para el jardín. 

Esta dentro del condominio Las Mostazas. En una playa increíble. A 10 mins en auto de Guanaqueros, 20 de Tongoy y 45 de la serena. Llegan las compras del Jumbo a la puerta de la casa.


La casa tiene 3 piezas ricas, cada una con su baño. Más un baño de servicio o de playa y parrilla. Tiene un espacio común grande con una barra y un comedor grande también. Una rica y amplia terraza con parrilla, fogón, estar reposeras y comedor exteriores. 

Hay en la parte de abajo del jardín una zona de fogata, también con parrilla y mesón para hacer un asado mas acampado. 

Dejamos siempre 2 stand up paddle y salvavidas de distintos tamaños para salir a remar por el mar. Una experiencia preciosa.

Hay también para el fin del día, y con la
idea de cuidar el agua, una ducha playera, justo antes de la subida a la casa, para bañarse rápido y sacarse la sal y arena antes de subir.",['Vista al océano'],5.0,15,Camila,05-2014,https://www.airbnb.cl/rooms/53001224?adults=1&children=0&infants=0&pets=0&check_in=2023-03-08&check_out=2023-03-13&previous_page_section_name=1000
1,Agradable casa a metros de playa,Alojamiento entero,Coquimbo,7,5,4, Habitación,2,privado,78.21,-29.9654,-71.305,"https://maps.google.com/maps?ll=-29.9654,-71.305&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lleva a toda la familia a este fantástico lugar con muchas zonas para
divertirse a metros de la playa. Son 138 mts  de construcción con patio y estacionamiento, 4 habitaciones

El espacio
La casa esta ubicada en un condominio tranquilo a 800 mtrs de la playa, cuenta con estacionamiento para dos autos, y su living comedor es muy espacioso, en el hay piano. La cocina es amplia y bien equipada, tiene lavadero que cuenta con lavadora- secadora nueva. El patio cuenta con terraza de asados y barra de ejercicio, caja de arena para niños. La pieza matrimonial es grande, y las demás piezas son muy cómodas para una estadía placentera. El barrio es muy tranquilo y se puede compartir tranquilamente. Los esperamos",['Acceso la playa Público o compartido'],,,Marcela,04-2018,https://www.airbnb.cl/rooms/732815677547456933?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-03&previous_page_section_name=1000
2,Linda CASA a pasos de la playa de Morrillos!,Alojamiento entero,Coquimbo,11,9,5, Habitación,3,privado,320.0,-30.12626,-71.36985,"https://maps.google.com/maps?ll=-30.12626,-71.36985&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","La casa se encuentra en un condominio privado con su respectiva playa.
Fuera del condominio está lleno de atracciones en sus alrededores, fácil de llegar y muy entretenidos, tales como:
• Tongoy
• Guanaqueros
• La Serena
• Casino Enjoy
• Coquimbo
• Playa Totoralillo
• Isla Damas
• Observatorio Astronómico La Silla.
• Punta Choros.
• Observatorio Cerro Tololo
• Valle del Elqui
• Vicuña
• Ovalle Parque nacional Fray Jorge.","Condominio privado. La casa está totalmente equipada para 11 personas. Muy acogedora, luminosa y bien distribuida, dos piezas matrimoniales en suite con TV. Cocina americana integrada al living, terraza techada, parrilla, columpios y juegos para niños. Está a 4 min. caminando de la playa (morrillos) y a 15 minutos en auto de Coquimbo  y a 5 minutos de Guanaqueros. Cerca de la casa hay un Humedal con aves de la zona, puedes ir caminando.


El lugar es muy tranquilo, ideal para descansar, hacer deportes al aire libre y gozar de los beneficios del mar, la playa y la naturaleza.
Los niños tienen un espacio ideal para juegos en el patio, con resbalín, columpios, foso de arena etc.",['Cocina'],5.0,30,Magdalena,11-2019,https://www.airbnb.cl/rooms/39948875?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000
3,Casa de verano con excelente ubicación,Alojamiento entero,La Serena,5,4,3, Habitación,"2,5",privado,60.0,-29.89573,-71.26485,"https://maps.google.com/maps?ll=-29.89573,-71.26485&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Playa, centros comerciales, negocios, panadería, comida rápida","Descansa en un lugar cómodo y tranquilo en La Serena. Este lugar, se encuentra a 15 minutos del centro de La Serena y del Mall Plaza, a 5 minutos del Mall Puertas del Mar, podrás caminar hacia la playa o irte en auto rápidamente. Puedes disfrutar de pasear por el Humedal urbano, donde encontrarás diversos tipos de aves y disfrutar del encuentro del Río elqui con el Océano Pacífico.
A pasos del alojamiento se encuentran diversos puestos de gastronomía.


El espacio es agradable y acogedor, el comedor y living tienen vista al jardín, del que se puede disfrutar los días soleados, disfrutar con la familia en torno a la parrilla y terraza.",['Vista al patio'],4.67,15,Mónica,03-2019,https://www.airbnb.cl/rooms/51542109?adults=1&children=0&infants=0&pets=0&check_in=2023-02-22&check_out=2023-02-28&previous_page_section_name=1000
4,Casa familiar a pasos de la playa!,Alojamiento entero,Coquimbo,14,12,5, Habitación,3,privado,180.0,-29.94833,-71.29121,"https://maps.google.com/maps?ll=-29.94833,-71.29121&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El lugar es muy tranquilo durante la temporada baja, mientras que durante el verano hay más movimiento de autos y peatones que bajan de la ciudad a disfrutar de la playa.
Es perfecto para ir por la mañana a disfrutar en la avenida del mar, tomarse un café, hacer deporte o arrendar alguna bicicleta para recorrer. La playa en las mañanas está más vacía","Casa grande en Peñuelas, Coquimbo, muy cerca de la playa y frente al Casino Disfruta de Coquimbo.
Está cerca de la Avenida del Mar, restaurantes de pescadores y otros restaurantes en La Serena.
La mejor ubicación en la playa de La Serena-Coquimbo, ya que está en la frontera entre los dos.
Tiene un gran parque infantil y estacionamiento para varios coches.
La casa se alquila llena, tanto para familias como para grupos de amigos!!


Casa en Peñuelas, Coquimbo, a pasos de la playa y frente al Casino Enjoy Coquimbo.
Cerca de la Avenida del Mar, de los restaurantes de los pescadores y de los demás restaurantes de La Serena.
La mejor ubicación en la playa de La Serena-Coquimbo, ya que se encuentra en el límite entre ambas.
Cuenta con un gran patio y estacionamiento para varios autos.
La casa se arrienda completa, tanto para familias como para grupos de amigos !!","['Acceso a la playa', 'Frente a la playa']",5.0,12,Fran,01-2016,https://www.airbnb.cl/rooms/41476042?adults=1&children=0&infants=0&pets=0&check_in=2023-02-16&check_out=2023-02-22&previous_page_section_name=1000
5,"Casa en La Serena, a 5 minutos de la Playa",Alojamiento entero,Coquimbo,7,5,4, Habitación,2,privado,55.0,-29.95962,-71.27181,"https://maps.google.com/maps?ll=-29.95962,-71.27181&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"ubicación en calle principal  con acceso:  supermercados, centros  comerciales,  restaurantes, bencineras  y   vía estructurantes a la avenida del mar,  playas a 5 minutos . Te va a encantar mi espacio por ser un barrio muy  tranquilo, gran espacio de la vivienda, estacionamiento para 2 vehículos, ser  un espacio acogedor y muy iluminado . Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios, y familias (con hijos).


Grato ambiente familiar, ubicado en barrio residencial consolidado con calles estructurales que dirigen directo a playas, casino y supermercados, almacén barrial.",['Cocina'],5.0,17,Eduardo,12-2016,https://www.airbnb.cl/rooms/18387323?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
6,casa puertas del mar para 10pax,Alojamiento entero,La Serena,10,7,3, Habitación,2,privado,100.0,-29.8998,-71.2634,"https://maps.google.com/maps?ll=-29.8998,-71.2634&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",lugar tranquilo para el descanso,"Disfruta estar cerca de  la playa y del centro de la serena.
cercana a parques, supermercado y mall.
lugar tranquilo para descansar.

El espacio
por la mañana puedes oír cantar las  aves . no lograrás escuchar el ruido de la ciudad estando tan cerca.
puedes llegar caminando a la playa y el centro de la Serena y así evitar la congestión vehicular que se produce en época estival.😊
cuenta con 1 cama de 2 plaza.
3 camarotes 
3 futones",['Acceso a la playa'],,,Paula,08-2022,https://www.airbnb.cl/rooms/801699579793699592?adults=1&children=0&infants=0&pets=0&check_in=2023-02-18&check_out=2023-02-25&previous_page_section_name=1000
7,Cerca de avenida del mar y casino de coquimbo.,Alojamiento entero,Coquimbo,8,5,3, Habitación,2,privado,85.0,-29.9592,-71.296,"https://maps.google.com/maps?ll=-29.9592,-71.296&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de la sencillez de este alojamiento tranquilo y céntrico hermosa casa muy cerca de la avenida del mar y casino  sector residencial peñuelas coquimbo consta con tres dormitorios, dos baños, patio, living, cocina, comedor, lavandería, estacionamiento, cable y wifi restaurante, y supermercado cerca.",['Cocina'],4.71,7,Johannie,10-2022,https://www.airbnb.cl/rooms/730332657090650902?adults=1&children=0&infants=0&pets=0&check_in=2023-02-23&check_out=2023-03-01&previous_page_section_name=1000
8,Se Arrienda Casa en La Hacienda,Alojamiento entero,La Serena,5,4,3, Habitación,2,privado,54.0,-29.9193,-71.2274,"https://maps.google.com/maps?ll=-29.9193,-71.2274&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Se arrienda casa para el verano, en el exterior cuenta con portón eléctrico y todo el patio de adocreto, con un amplio estacionamiento, 3 dormitorios y 2 baños, Living comedor con vigas a la vista, amplios closets, con cocina totalmente equipada horno eléctrico, encimera, microondas, 2 TV, Internet, wifi, netflix, ubicada en un sector tranquilo de la ciudad con múltiples accesos, 15 min de la playa, 5 minutos de supermercado, farmacias y aeropuerto, un lugar muy cómodo para pasar éste verano.",['Cocina'],,,Gustavo,12-2022,https://www.airbnb.cl/rooms/792170406442394843?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000
9,"Sector Seguro, cercano del mar",Alojamiento entero,Coquimbo,5,4,3, Habitación,2,privado,68.0,-29.9607,-71.29439,"https://maps.google.com/maps?ll=-29.9607,-71.29439&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"En este alojamiento se respira tranquilidad: ¡relájate con toda la familia!
Frente a una plaza, iluminada, de bajo tráfico vehicular, cuenta con Portón Eléctrico, seguro!!
A 10 minutos del Casino, Playas, Locales Comerciales!!
Lugar amplio para 5 personas, pero si traes un colchón o se animan a dormir en el sillón cómodo, perfectamente se adapta para 6 personas.
Pasto sintético, lo que permite disfrutar de juegos en familia.",['Cocina'],,,Carolina,07-2019,https://www.airbnb.cl/rooms/810117009388777724?adults=1&children=0&infants=0&pets=0&check_in=2023-02-18&check_out=2023-02-25&previous_page_section_name=1000
