,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,CASA BAHÍA AZUL. ARQ. CECILIA PUGA,Alojamiento vacacional entero,Los Vilos,Coquimbo Region,10,8,4, Habitación,3,privado,185.0,-31.99928,-71.52174,"https://maps.google.com/maps?ll=-31.99928,-71.52174&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en borde mar. Espectacular vista. 206 m2 construidos. Arquitectura moderna. 
Capacidad 10 personas (2 camas matrimoniales, 2 camas de plaza y media, 4 camas de una plaza), 3 baños. Gran living. Comedor-cocina. Terraza. 
Pozón natural en las rocas. 
Alojamiento bueno para parejas, aventureros, viajeros de negocios, familias (con hijos) y grupos de amigos.

Lugares de interés: Playa Pichidangui (skysurf y buceo) Los Vilos, Bodegón Cultural, Cerámica de Guangualí, Playas cercanas.


Casa ubicada en condominio consolidado con árboles y jardines crecidos.
Sin embargo, la crítica escasez hídrica en la región ha obligado a ser muy responsables con el uso del agua y del riego, privilegiando el agua para el uso de la casa.","['Acceso a la playa', 'Frente a la playa']",4.74,93,Barbara,01-2016,https://www.airbnb.cl/rooms/13699585?adults=1&children=0&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
1,Espectacular casa con una vista inolvidable,Alojamiento entero,Los Vilos,Coquimbo,9,10,3, Habitación,"2,5",privado,170.0,-31.97075,-71.49128,"https://maps.google.com/maps?ll=-31.97075,-71.49128&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"La casa tiene una vista espectacular, con bajada a la playa donde se encuentra una piscina de agua de mar.

El espacio
La casa tiene tv con directv, wifi, y en el
Patio trasero tiene una zona de juego para los niños y un columpio con la mejor vista al
Mar de la zona.",['Acceso a la playa'],4.88,25,Maria Jose,08-2016,https://www.airbnb.cl/rooms/48262071?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
2,Casa primera linea 8 Quebradas vista sobrecogedora,Casa de campo entero,Los Vilos,Coquimbo,8,6,3, Habitación,"2,5",privado,162.0,-31.96628,-71.4912,"https://maps.google.com/maps?ll=-31.96628,-71.4912&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de un lugar único a solo 2,5 horas de Santiago. Casa moderna recién construida, en primera línea frente al mar. Bajada directa a playa de piedras (no apta para baño). Sobrecogedora vista.
Playas a 15-20 minutos en los alrededores, Pichidangui, Los Vilos,  Chigualoco.
Ideal para desconectarse unos días, paseos, caminatas frente a la costa, playas cercanas, 5 km del pueblo de Los Vilos donde podrá encontrar todo tipo de servicios, restoranes, caleta de pescadores, cafetería.


Tres dormitorios, dos en cama matrimonial, más una tercera pieza con 4 camas (camarote + cama con cama nido).

Terraza trasera y frontal, parrilla para asados.

Cafetera Nespresso.

Cocina full equipada.",['Acceso a la playa'],4.80,25,Felipe,12-2013,https://www.airbnb.cl/rooms/53782493?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
3,Casa amoblada con vista al mar a 200m de la playa,Alojamiento entero,Choapa,Coquimbo,4,3,3, Habitación,1,privado,47.0,-31.90794,-71.5018,"https://maps.google.com/maps?ll=-31.90794,-71.5018&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"linda casa de madera, amoblada, con un amplio living-comedor con vigas a la vista e iluminado por amplios ventanales, 3 dormitorios amplios, con patio trasero y antejardín con pasto, árboles frutales y una hermosa terraza con vista al mar. 
Apta Para 4-5 personas ya que cuenta con 3 camas, más una extra opcional de ser necesaria.
Ubicada en una exelente localización, barrio recidencial de Los Vilos, cercana a supermercados, negocios y con la playa a solo 200 metros",['Acceso a la playa'],4.56,18,Camilo,10-2022,https://www.airbnb.cl/rooms/732757775890214729?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
4,"Casa de Playa, Ensenada (Totoralillo), amplia vista al mar, playa privada condominio",Cabaña entero,Los Vilos,Coquimbo,6,4,3, Habitación,2,privado,175.0,-32.00269,-71.51799,"https://maps.google.com/maps?ll=-32.00269,-71.51799&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Amplia casa de playa, ubicada en Ensenada, en la bahía de Totoralillo.
Emplazada en altura, posee vista panorámica al mar desde todas sus habitaciones, living, comedor y terraza. Además, cuenta con piscina propia.
Es parte de un condominio con acceso remoto, un entorno muy tranquilo y una linda playa privada.
A 213km de Santiago, por la ruta 5, cerca de Pichidangui, Valle Quilimarí, Los Vilos, Chigualoco y Huentelauquén. Gastronomía criolla del mar, paseos, deportes náuticos... Imperdible!


Habitaciones con techos de 3 metros de altura, otorgan una cómoda sensación de amplitud. Revestidas en madera, con un suave albayalde en tono claro.
Todas sus ventanas son termopanel y permiten un ambiente seco dentro de la casa.",['Vista a la bahía'],4.75,12,Nicolás,12-2015,https://www.airbnb.cl/rooms/51729708?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
5,Casa en la playa (entre Pichidangui y los Vilos),Alojamiento entero,Los Vilos,Coquimbo,5,4,2, Habitación,2,privado,155.0,-32.00883,-71.51633,"https://maps.google.com/maps?ll=-32.00883,-71.51633&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,,"['Acceso a la playa', 'Frente a la playa']",4.74,34,Francisco,11-2016,https://www.airbnb.cl/rooms/47373666?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-18&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
6,Casa en condominio Ensenada a pasos de la playa.,Alojamiento vacacional entero,Los Vilos,Coquimbo,8,8,3, Habitación,3,privado,149.0,-32.17368,-71.52117,"https://maps.google.com/maps?ll=-32.17368,-71.52117&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermosa casa en condominio con acceso directo a la playa Ensenada ubicada entre Pichidangui y Los Vilos. Ideal para relajarse y descansar rodeado de naturaleza.  Agradable quincho techado.

La casa tiene 3 dormitorios y 3 baños. Dos de los dormitorios  cuentan con cama king y baño en suite. El tercer dormitorio posee 2 camas nido más un camarote. Hay camas para 8 personas. Cocina completamente equipada. Quincho, disco y fogón disponibles.

La casa cuenta con PISCINA NATURAL",['Vista al patio'],4.80,10,Constanza,01-2020,https://www.airbnb.cl/rooms/676084455629461439?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
7,Casa Familia Vista 360° Piscina Condom. Ensenada,Cabaña entero,Los Vilos,Región Metropolitana,8,4,4, Habitación,3,privado,150.0,-32.00303,-71.51988,"https://maps.google.com/maps?ll=-32.00303,-71.51988&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate con toda la familia en este tranquilo lugar para quedarse. 
Condom. Ensenada
Casa  140 M2.  hermosas vistas panorámicas en 360°.
Se desarrolla en 4 niveles; Nivel Dormit. principal, Nivel casa, Nivel deck piscina, Nivel de Acceso vehicular.  Rodeada de  amplias terrazas con barandas vidriadas.
Habilitada para 8 personas , Cocina integrada, espacios  de gran altura. Piscina incorporada a medio nivel de terraza principal. Acceso a playita interior del condominio a 650 mts. desde la casa .


Casa construida sobre roca, rodeada de terrazas con vista al mar, piscina en deck de madera, medio nivel bajo nivel de la casa.  Estar - Comedor y Cocina integrados en un solo espacio con vista al mar al igual que todos los dormitorios. Ventanas termo panel de PVC. excelente  aislación.",['Acceso a la playa'],,,Victor Hugo,01-2023,https://www.airbnb.cl/rooms/808713835019164326?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
8,Casa para descansar. Extraordinaria vista al mar,Casa de campo entero,Los Vilos,Coquimbo,6,4,3, Habitación,2,privado,140.0,-31.95634,-71.49631,"https://maps.google.com/maps?ll=-31.95634,-71.49631&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Desconecta de tus preocupaciones en este espacio tan amplio y sereno.

Otros aspectos a destacar
El lugar invita a caminar y recorrer la costa rocosa y acantilados. También hay pequeñas playas. Si te interesa la arquitectura, encontrarás casas de arquitectos famosos.",['Vista al océano'],5.0,16,Clemente,03-2014,https://www.airbnb.cl/rooms/52627860?adults=1&children=0&infants=0&pets=0&check_in=2023-03-08&check_out=2023-03-14&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
9,cabaña interior con vista al mar,Casa de huéspedes entero,Los Vilos,Coquimbo,3,2,2, Habitación,1,privado,80.0,-31.98885,-71.50996,"https://maps.google.com/maps?ll=-31.98885,-71.50996&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña interior en terreno compartido con familia anfitriona.
Ideal para relajarse solo, en pareja o familia. Con vista al mar y acceso a playa de rocas con pozones.
En zona de acantilados por lo que se recomienda resguardo de niños.

El espacio
Cabaña de 48m2 con 2 dormitorios, un baño, living-comedor y cocina integrada, amplia terraza.
Dormitorio principal con cama de 2 plazas y segundario con cama de 1 plaza",['Vista al océano'],5.0,22,Cecilia,09-2021,https://www.airbnb.cl/rooms/52169399?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=348e8d75-67bb-4f60-b47a-cc2a8c17cfab
