,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Valle del Limarí. Tranquilidad y descanso,Cabaña entero,Ovalle,Coquimbo,5,4,2, Habitación,1,privado,70.0,-30.754,-70.8434,"https://maps.google.com/maps?ll=-30.754,-70.8434&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Parcela de agrado donde se adecuó esta cabaña. Es para quienes deseen conocer las bellezas y la paz del Valle del Limarí . Materiales rústicos. Rodeado de árboles frutales y naturaleza nortina  de la que pueden disfrutar incluyendo los cielos estrellados o las noches de Luna llena.

El espacio
Está equipada con todo lo necesario para cocinar.. Posee un hermoso quincho para los asados. También pueden conseguir una persona que pueda colaborar en hacer comida o comprar, como pan amasado etc.",['Vista al canal'],4.91,22,Migdalel,11-2019,https://www.airbnb.cl/rooms/40566558?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
1,Casazul Ovalle - Provincia del Limarí,Alojamiento entero,Ovalle,Región de Coquimbo,4,4,3, Habitación,1,privado,37.6,-30.5865,-71.19077,"https://maps.google.com/maps?ll=-30.5865,-71.19077&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en barrio tranquilo, sector cercano al nuevo Hospital de Ovalle y Campus Agronomía Universidad de la Serena.  Acceso rápido a servicios: locomoción colectiva, supermercado, almacenes, gasolinera y a 2 minutos Ruta 43 Norte. 
Cuenta con tres dormitorios en el segundo piso.  Y en el primer piso linving y comedor amplios, una cocina equipada, un baño. Estacionamiento para dos vehículos, antejardín  y jardín interior.


Casa con espacios apropiados para que el visitante se sienta cómodo.",['Cocina'],4.86,7,Claudia,06-2019,https://www.airbnb.cl/rooms/35912877?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
2,Hermosa cabaña a pasos de la playa,Cabaña entero,Coquimbo,Chile,6,6,2, Habitación,1,privado,58.0,-30.19911,-71.42077,"https://maps.google.com/maps?ll=-30.19911,-71.42077&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acojedora cabaña en la localidad de guanaqueros, se encuentra a pasos de la playa y a pasos del centro de esta, donde se encuentra una variedad de centros gastronómicos de la zona. Además se encuentra en la vía de acceso principal para dirigirse a tongoy, otra playa característica de la zona, en auto solo son 15 minutos. Esta cabaña cuenta con estacionamiento propio donde alcanzan dos autos, además tiene una barbacoa en el patio trasero ideal para asados .


La propiedad es exclusiva para los huéspedes.",['Acceso la playa Público o compartido'],5.0,15,Maria,01-2019,https://www.airbnb.cl/rooms/52988864?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
3,Casa Condominio en Tongoy,Alojamiento entero,Tongoy,Coquimbo,6,5,3, Habitación,2,privado,70.0,-30.2574,-71.4751,"https://maps.google.com/maps?ll=-30.2574,-71.4751&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en Condominio Prados del Mar . Localidad de Tongoy.
Casa amplia con tres habitaciones y dos baños.",['Acceso a la playa'],5.0,4,Paulina,06-2015,https://www.airbnb.cl/rooms/795537401833974868?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
4,Cabaña Valle del Elqui,Alojamiento entero,La Serena,Región de Coquimbo,5,4,3, Habitación,2,privado,98.0,-30.0126,-71.0358,"https://maps.google.com/maps?ll=-30.0126,-71.0358&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Está ubicado en El Valle de Elqui a 25 Kilómetros de La Serena ciudad que cuenta  con playa, bares restaurante, casino, Mall. El aeropuerto se encuentra a 20 kilómetros de distancia. Desde este lugar se pueden visitar observatorios Mayu, Tololo y Mamalluca ( reservas con anticipación)
También se pueden visitar las viñas y pisqueras de la localidad.
Piscina con vista panorámica al Valle.


La cabaña cuenta con hermosa terraza con vista al Valle, 2 dormitorios con cama de 2 plazas. Uno en la planta baja totalmente independiente con entrada independiente y el otro en el piso superior donde además se encuentra la cocina.Cuenta además con 2 camas de 1 plaza ubicadas en el segundo piso . Baño en ambos pisos. Cabaña full equipada para que tu estadía sea confortable.",['Cocina'],5.0,34,Ana María,07-2017,https://www.airbnb.cl/rooms/20154848?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
5,Casa Guanaqueros II,Alojamiento entero,Guanaqueros,Coquimbo Region,10,9,4, Habitación,3,privado,180.0,-30.20043,-71.43229,"https://maps.google.com/maps?ll=-30.20043,-71.43229&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermosa casa en Guanaqueros, sector las lícitas, a sólo 3 cuadras de la playa, cuenta con Quincho, piscina, juegos infantiles, equipada para 10 personas. A 30 kms de Coquimbo y La Serena, a 65 kms del Valle de Elqui",['Acceso a la playa'],4.74,23,Mitchell,02-2016,https://www.airbnb.cl/rooms/25813768?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
6,Acogedora Cabaña en Guanaqueros,Cabaña entero,Guanaqueros,Coquimbo,6,5,3, Habitación,2,privado,65.6,-30.20248,-71.41405,"https://maps.google.com/maps?ll=-30.20248,-71.41405&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedora cabaña en condominio con seguridad y áreas verdes.
La cabaña estilo vintage, cuenta con las comodidades esenciales para recibir a una familia e incluso mascota pequeña.
Cuenta con acceso y estacionamiento de hasta 2 vehiculos.
Posee terraza con vista parcial al mar y parrilla.


Living comedor con cocina integrada. Pieza principal con cama 2 plazas, segundo dormitorio con 2 camas de plaza y media, tercer dormitorio con camarote de 1 plaza.
2 baños, 1 completo, segundo con ducha sin tina.
Terraza frontal con parrilla y muebles de terraza. 
Cuenta con patio posterior con vegetación autóctona.

Posse acceso de autos a través de 2 portones con corredera.
El acceso a la casa tiene una pequeña escalera lateral.

Cuenta con TV satelital con canales básicos. La señal de celular es intermitente en temporada.",['Acceso la playa Público o compartido'],,,Fabiola,08-2015,https://www.airbnb.cl/rooms/822438977607480601?adults=1&children=0&infants=0&pets=0&check_in=2023-03-11&check_out=2023-03-17&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
7,Casa Playa frente Puerto Velero,Alojamiento entero,Coquimbo,Chile,8,6,3, Habitación,3,privado,150.0,-30.24943,-71.45986,"https://maps.google.com/maps?ll=-30.24943,-71.45986&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermosa Casa de Playa nueva con linda piscina y Terraza emplazada en condominio privado cerca del mar, grandes vistas, especial para conectarse con tus seres queridos en un ambiente familiar, tranquilo y acogedor",['Acceso la playa Público o compartido'],,,Juan Luis,04-2019,https://www.airbnb.cl/rooms/821984450971999152?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
8,Casa grande y acogedora,Alojamiento entero,Coquimbo,Chile,9,7,5, Habitación,3,privado,100.0,-30.2804,-71.5018,"https://maps.google.com/maps?ll=-30.2804,-71.5018&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Desconecta de tus preocupaciones en este espacio tan amplio y sereno. Con linda vista a Tongoy y al paisaje del norte, con un cielo impactante y un silencio maravilloso. La playa esta muy cerca y el clima siempre acompaña.

Otros aspectos a destacar
Tenemos opción de arriendo de jacuzzi por días.",['Acceso la playa Público o compartido'],5.0,5,Karina,02-2019,https://www.airbnb.cl/rooms/676974841375185230?adults=1&children=0&infants=0&pets=0&check_in=2023-03-05&check_out=2023-03-10&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
9,Cabañas hogareñas con piscina Los trigales,Cabaña entero,Guanaqueros,Coquimbo,4,4,2, Habitación,1,privado,55.012,-30.21586,-71.41684,"https://maps.google.com/maps?ll=-30.21586,-71.41684&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate con toda la familia en este tranquilo lugar para quedarse.
cuenta con piscina amplio lugar para mascotas
Contamos con una cabaña bien equipada con cocina, living comedor,baño con tina y dos dormitorios 
cuenta con TV CABLE 
agua caliente 
lugar super tranquilo


Espacio amplio para jugar o correr",['Cocina'],4.67,3,Gabriel Anibal,01-2023,https://www.airbnb.cl/rooms/795827064237298169?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=33cc41f5-0ceb-43cc-b4b0-9ce704340041
