,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Espectacular Casa en Puerto Velero,Alojamiento entero,Puerto Velero,12,10,5, Habitación,5,privado,280.0,-30.24535,-71.47798,"https://maps.google.com/maps?ll=-30.24535,-71.47798&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El Resort se encuentra a 4 Km de Tongoy, donde se encuentran variados Restaurantes con Mariscos y Pescados de la Zona. También existe una Caleta con venta a Publico de Pescados y Mariscos recién sacados del Mar","Lugares de interés: arte y cultura, increíbles vistas, restaurantes, actividades en familia.
Muy buena seguridad del Condominio. Mi alojamiento es bueno para familias (con hijos) y grupos grandes.
Es un resort muy exclusivo, con una playa de arenas blancas y aguas con agradable temperatura, piscinas de agua dulce y salada, marina, cancha de futbol, canchas de tenis, canchas de padel, cancha de Golf y Supermercado, esta ubicado en el Norte de Chile.


Los arriendos en el Verano son por quincena.","['Acceso a la playa', 'Frente a la playa']",4.88,8,Maria Luisa,11-2016,https://www.airbnb.cl/rooms/16041593?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000
1,"Casa del Valle, Lugar soñado.",Casa de campo entero,La Serena,12,9,4, Habitación,4,privado,280.0,-29.92458,-71.21694,"https://maps.google.com/maps?ll=-29.92458,-71.21694&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Esta casa está preparada para un grupo de 12 a 15 personas, completamente equipada, con hermosas y amplias áreas verdes, gran Piscina, Gimnasio, Quincho y horno de barro, mesa de ping pong, mesa de mini ping pong, Taca Taca o futbol de mesa, tina de madera de agua caliente a leña, 4 dormitorios, 4 baños, Wi-Fi, hermosas y acogedoras decoraciones ideal para venir a relajarse y llenarse de energía del valle del Elqui. Está ubicada hacia el valle Km 14, a 15 min del centro y  25 min de la playa.",['Cocina'],5.0,5,Víctor,12-2022,https://www.airbnb.cl/rooms/787658634284634599?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
2,Casa Top en Puerto Velero,Alojamiento entero,Puerto Velero,10,12,5, Habitación,6,privado,350.0,-30.244,-71.47888,"https://maps.google.com/maps?ll=-30.244,-71.47888&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Vista privilegiada a la bahía, 1200 metros de jardín,accesos controlados con guardias privados, 4 dormitorios para 10 personas, mas servicio,estacionamiento 5 autos, full equipada, 2 kayacs, resort con cancha golf par 3 de 18 hoyos, piscinas, canchas tenis, futbol, marina para lanchas y veleros, mini market,restoranes, gimnasio

El espacio
Casa de altísimo estándar, excelentemente equipada y decorada, extraordinario jardín y privilegiada vista a la bahía y playa. Casa 2 pisos con 2 dormitorios con baño en suit, mas 2 dormitorios con 3 camas cada uno, pieza niños y niñitas. Dormitorio adicional de servicio o para jóvenes, con camarote y baño en suit. Mejor alternativa en el Resort",['Vista al jardín'],4.82,11,Juan Pablo,08-2014,https://www.airbnb.cl/rooms/13585395?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000
3,La herradura,Alojamiento entero,Coquimbo,5,4,3, Habitación,"2,5",privado,65.0,-29.99438,-71.35835,"https://maps.google.com/maps?ll=-29.99438,-71.35835&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Desde este alojamiento céntrico todo el grupo podrá disfrutar del fácil acceso a todo. Se encuentra a pasos 3 min de la playa la herradura , supermercado . 
Cuenta con un hermoso quincho para compartir en familia. 
Amplio estacionamiento con cama saltarina para disfrutar.",['Cocina'],,,Rodrigo,01-2023,https://www.airbnb.cl/rooms/806618661687584183?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000
4,casa para vacaciones espaciosa,Alojamiento entero,Coquimbo,7,5,3, Habitación,"2,5",privado,80.8,-29.9706,-71.2979,"https://maps.google.com/maps?ll=-29.9706,-71.2979&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Es un lugar muy tranquilo, muy seguro y cuenta con hermosas vistas en sus alrededores.","Relájate con toda la familia en este alojamiento donde la tranquilidad se respira. Ven a disfrutar de la cuidad más linda en una cómoda casa equipada para que no te falte nada.

El espacio
Casa hermosa, limpia, amplia en un excelente barrio, a minutos de las mejores playas de la cuidad. Cerca de supermercado. El lugar es muy tranquilo y la casa cuenta con todo lo necesario para disfrutar unas merecidas vacaciones.",['Vista al parque'],,,Andrea,04-2016,https://www.airbnb.cl/rooms/748030458025388402?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-03&previous_page_section_name=1000
5,Hermosa casa en exclusiva parcela en condominio,Alojamiento entero,La Serena,6,6,3, Habitación,"1,5",privado,220.0,-29.9465,-71.14425,"https://maps.google.com/maps?ll=-29.9465,-71.14425&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Muy seguro y tranquilo, hay áreas verdes y cámaras de seguridad.","Ubicada en el Valle de Elqui, Algarrobito, pueblo típico y muy hermoso. Estamos a 30 minutos de la playa y a 40 minutos de Vicuña, el clima es ideal, menos frío que Serena, y no tan caluroso como Vicuña.
3000 m2 de terreno, la mitad zona de biodiversidad natural, hay 2000 m2 de áreas verdes, caminos, quincho, piscina y construcciones.
Muy cómoda y limpia.
Hemos construido un hermoso lugar donde se hace fácil pasarla bien y ser feliz!!!!

VALOR PARA 6 PERSONAS.
PERSONA EXTRA PAGA $10.000/DÍA


ALGUNAS CARACTERISTICAS Y ACTIVIDADES A REALIZAR:
ESTACIONAMIENTO: Techado para 4 vehículos y al aire para otros 6 autos.
3 HABITACIONES DE PRIMER NIVEL
3 TERRAZAS: La del Vino, la de Gym y la Veranda (terraza cerrada de vidrio, gran vista).
3 COMEDORES: Interior casa, en terraza y en Quincho, elija cada día cual usa.
PISCINA CON HIDROMASAJE JACUZZI: Rico!!
ESTANQUE CON PECES KOI: 40m3 de capacidad con más de 50 peces de colores, a los peces Koi se le atributen muchos efectos, como la suerte, el relax está garantizado.
GIMNASIO: 4 Maquinas: Bicicleta estática, elíptica, abdominales y multifuncional.
QUINCHO: Parrilla acero inoxidable, rica sombra y vista privilegiada.
FOGON: Fogata nocturna o asado al palo!!!
JUEGOS: MESA PING PONG, TACA TACA, RANA, DARDOS.
BICICLETAS: 3 Bicis disponibles.
OBSERVACION DEL CIELO NOCTURNO: Zona ideal, es oscuro y poco nuboso. 
CAMA DE CUARZO: Relájese y goce.
SUSTENTABILIDAD: Si bien hay energía de red, tenemos 12 paneles solares que nos dan independencia energética.
RECICLAJE: Separamos latas y vidrios, también si lo desean pueden separar orgánicos compostables y nos ayudan con el abono que fabricamos para nuestras plantas.
ESPACIO: Se alojan en cama: 8 personas, en sofacama: 2 personas, en colchon inflable: hasta 4. En sofa hasta 2. Maximo 12 Huespedes.",['Vista al jardín'],5.0,3,Christian,12-2017,https://www.airbnb.cl/rooms/22230333?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000
6,HABITACIONES para cuatro personas,Habitación privada en alojamiento,La Serena,4,3,2, Habitación,1compartido,compartido,80.0,-29.9284,-71.2469,"https://maps.google.com/maps?ll=-29.9284,-71.2469&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio residencial, tranquilo y bello. Ubicado en sector residencial de La Serena, cercano al mall y la playa, hay muy buena conectividad. Comercio cercano. Buena locomocion. (Ver foto).
Consta con dos mini plazas o areas verdes para esparcimiento. (Cancha de baby foot.ball","LA SERENA: Dos habitaciones en amplia casa, para cuatro personas con niños desde 3 años. Baño independiente con agua caliente. Con Wi-Fi. Quincho con refrigerador, asador a gas y con Máquinas de ejercicios: Trotadora eléctrica y Maquina Home Gym multigimnasia.

El espacio
Comparte nuestra casa, somos un matrimonio de Odontólogos con un hijo de 10 años y nana. Dos habitaciones en amplia casa, para cuatro personas con niños desde 3 años. Baño independiente con agua caliente. Con Wi-Fi. Quincho con refrigerador, asador a gas y con Máquinas de ejercicios: Trotadora eléctrica y Maquina Home Gym multigimnasia.",['Cocina'],,,Juanhoracio,02-2017,https://www.airbnb.cl/rooms/22206335?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000
7,Parcela para Familias Valle de Elqui,Chalé entero,Elqui,1,12,5, Habitación,"3,5",privado,172.688,-29.94823,-71.13918,"https://maps.google.com/maps?ll=-29.94823,-71.13918&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Parcela ubicada en Algarrobito a 10 minutos de La Serena 
cuenta con amplias y cómodas dependencias para un descanso ideal de vacaciones 
Piscina 
Área de Juegos
Quincho
Tina de Madera 
5 cómodos dormitorios",['Cocina'],,,Wendy,09-2017,https://www.airbnb.cl/rooms/21122996?adults=1&children=0&infants=0&pets=0&check_in=2023-02-15&check_out=2023-02-22&previous_page_section_name=1000
8,GRAN CASA EN PARCELA CON PISCINA,Alojamiento entero,La Serena,8,6,4, Habitación,"5,5",privado,300.0,-29.93897,-71.24681,"https://maps.google.com/maps?ll=-29.93897,-71.24681&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Estamos ubicados en el mejor sector de la Serena , cercano al hermoso cerro grande donde podras realizar treeking , bicicleta y montañismo. Cercano a supermercados, tiendas, bancos , cafeterias, restaurante.
Nuestra casona esta ubicada dentro de un condominio con seguridad las 24 horas . Sector seguro, de mucha vegetación .",Hermosa parcela en la ciudad con casa muy comoda y espaciosa donde podras disfrutar de la naturaleza en familia .,['Cocina'],,,Fabiola,01-2022,https://www.airbnb.cl/rooms/54193855?adults=1&children=0&infants=0&pets=0&check_in=2023-02-15&check_out=2023-02-22&previous_page_section_name=1000
9,Casa Valla Místico,Alojamiento entero,Vicuña,8,3,3, Habitación,2,privado,180.0,-30.02946,-70.71194,"https://maps.google.com/maps?ll=-30.02946,-70.71194&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",ubicado en lugar residencial de la ciudad,"Casa ubicada a pocas cuadras del centro de la ciudad, a pasos de supermercado y hospital, cuenta con estacionamiento privado para 3 vehículos, piscina, quincho, gimnasio, bicicletas para paseo, Wifi, lugar residencial.",['Cocina'],,,Johnny,08-2019,https://www.airbnb.cl/rooms/37440012?adults=1&children=0&infants=0&pets=0&check_in=2023-02-15&check_out=2023-02-20&previous_page_section_name=1000
