,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,hermoso y con una vista única,Suite de invitados entero,Coquimbo,6,4,3, Habitación,1,privado,45.0,-29.96965,-71.32644,"https://maps.google.com/maps?ll=-29.96965,-71.32644&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,Relájate con toda la familia en este alojamiento donde la tranquilidad se respira.,['Cocina'],4.84,25,Alex,07-2020,https://www.airbnb.cl/rooms/51847229?adults=1&children=0&infants=0&pets=0&check_in=2023-02-23&check_out=2023-02-28&previous_page_section_name=1000
1,cabaña interior con vista al mar,Casa de huéspedes entero,Los Vilos,3,2,2, Habitación,1,privado,82.6,-31.98885,-71.50996,"https://maps.google.com/maps?ll=-31.98885,-71.50996&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña interior en terreno compartido con familia anfitriona.
Ideal para relajarse solo, en pareja o familia. Con vista al mar y acceso a playa de rocas con pozones.
En zona de acantilados por lo que se recomienda resguardo de niños.

El espacio
Cabaña de 48m2 con 2 dormitorios, un baño, living-comedor y cocina integrada, amplia terraza.
Dormitorio principal con cama de 2 plazas y segundario con cama de 1 plaza","['Acceso a playa Privado', 'Frente a la playa']",5.0,21,Cecilia,09-2021,https://www.airbnb.cl/rooms/52169399?adults=1&children=0&infants=0&pets=0&check_in=2023-02-23&check_out=2023-02-28&previous_page_section_name=1000
2,Cabaña privada con piscina,Casa de huéspedes entero,Vicuña,4,3,2, Habitación,1,privado,100.0,-30.02582,-70.72416,"https://maps.google.com/maps?ll=-30.02582,-70.72416&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Zona residencial, colindante con centros astronómicos y turísticos","Somos una pareja de científicos que queremos abrir nuestra residencia para que puedan disfrutar Del Valle del Elqui. Contamos con una cabaña privada (4 personas) ubicada en Vicuña, a minutos del centro. Amplias áreas verdes, juegos infantiles, estacionamiento techado, piscina privada y zona de picnic. Tenemos una huerta orgánica, puedes tomar lo que quieras y disfrutar de productos frescos


Cabaña nueva, con 2 dormitorios (cama matrimonial y otro con 1 camarote), cocina con frigobar y cocina pequeña, comedor y amplio living con futón y amplios ventanales con vista a las áreas verdes. La cabaña está rodeada de áreas verdes. Entrada privada con portón automático y estacionamiento techado",['Vista al patio'],5.0,20,Nicolas,10-2018,https://www.airbnb.cl/rooms/603555410978430912?adults=1&children=0&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-03&previous_page_section_name=1000
3,hostal vicuña,Habitación privada en casa de huéspedes,Vicuña,8,6,5, Habitación,2compartidos,compartido,15.0,-30.03303,-70.71569,"https://maps.google.com/maps?ll=-30.03303,-70.71569&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",ambiente tranquilo y acogedor para tener un descanso reparador,"Disfruta de la sencillez de este alojamiento tranquilo, céntrico y economico

El espacio
hospedaje tranquilo, a 4 cuadras del centro, botillerias, supermercados, ferreterias y almacenes en las cercanias",['Cocina'],,,Sergio,10-2018,https://www.airbnb.cl/rooms/812232677851998860?adults=1&children=0&infants=0&pets=0&check_in=2023-02-22&check_out=2023-02-28&previous_page_section_name=1000
4,CasaDiaguitas; acogedora y privada Valle del Elqui,Casa de huéspedes entero,Diaguitas,6,4,3, Habitación,2,privado,100.0,-30.02395,-70.64078,"https://maps.google.com/maps?ll=-30.02395,-70.64078&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El sector donde nos ubicamos es en la calle principal del pueblo, en el portezuelo, puerta de ingreso al verdadero Valle del Elqui, franqueados por el cerro Mamalluca y Peralillo.

En las cercanías se encuentra el río Elqui, plaza de Diaguitas, templo Hare Krishna, cervecería Guayacán, restaurantes locales, la antigua línea del tren que permite realizar rutas en bicicleta y otros pueblos turísticos del Valle.

De noche hay poca contaminación lumínica lo que permite observar los cielos más puros de nuestro país.","Cabañas privadas para 6 personas totalmente equipada en el corazón del Valle del Elqui y un cielo impactante. ¿Lo has visto de noche?. Cuenta con piscina privada, TV satelital, estacionamiento, quincho con barbacoa, terraza y comodidades varias para que descanses como lo mereces. Ideal para familias en un ambiente pacífico y silencioso. 

Ofrecemos un espacio único con instalaciones privadas sólo para tí y tu familia.


Capacidad máxima atención, 6 personas.
Horario ingreso: 14:00 PM
Horario salida: 12:00PM

¿Qué ofrecemos?
Cabaña equipada con
Tv satelital
Dos habitaciones con ropa de cama
Living comedor
Cocina americana con todos los utensilios
Baño
Pergola con comedor exterior 
Quincho para asados
Terraza con living exterior
Piscina 
Sector hamacas
Columpio (niños)
Sector reposeras
Estacionamiento Interior privado
Terreno cercado, privado y con atención durante todo el día.",['Vista al patio'],,,Rolando,10-2021,https://www.airbnb.cl/rooms/52895064?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
5,"Pequeña casa, para 3 personas",Casa de huéspedes entero,Vicuña,3,2,2, Habitación,1,privado,26.0,-30.01414,-70.62516,"https://maps.google.com/maps?ll=-30.01414,-70.62516&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Alojamiento rural en la localidad de Pullayes, a pocos kilómetros de la ciudad de Vicuña, IV Región. De fácil acceso tomando colectivos desde el terminal de Vicuña.
El lugar se encuentra rodeado por innumerables cerros con miles de historias. Se encuentra cerca de importantes y poco conocidos lugares con arte rupestre y otros sitios arqueológicos. Es un lugar ideal para la observación astronómica. 
Es un lugar muy iluminado y ventilado, con una vista insuperable y precios accesibles.",['Wifi'],,,Patricio,10-2018,https://www.airbnb.cl/rooms/795627780819195994?adults=1&children=0&infants=0&pets=0&check_in=2023-02-13&check_out=2023-02-18&previous_page_section_name=1000
6,Cabaña Vientos del Puclaro,Casa de huéspedes entero,Vicuña,4,3,2, Habitación,1,privado,75.0,-30.00167,-70.81817,"https://maps.google.com/maps?ll=-30.00167,-70.81817&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña tranquila, amplia y full equipada para 4 personas. Ideal para familias que desean desconectarse y pasar un grato momento.  Disponemos de dos habitaciones, un baño, cocina, living, comedor y terrazas. Además, contamos con un área especializada para el relajo con cama de cuarzo recargada con energías del Valle de Elqui.
Nos encontramos en un área rural, muy tranquila, ideal para observar las estrellas.",['Cocina'],,,Melany,04-2017,https://www.airbnb.cl/rooms/657109933473339267?adults=1&children=0&infants=0&pets=0&check_in=2023-02-14&check_out=2023-02-19&previous_page_section_name=1000
7,Acogedora y Centrica Casa de Huespedes!,Casa de huéspedes entero,Coquimbo,4,3,3, Habitación,1,privado,31.5,-29.95865,-71.33637,"https://maps.google.com/maps?ll=-29.95865,-71.33637&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio Baquedano es un sector comercial en pleno centro de Coquimbo, nuestro establecimiento está ubicado a un costado del Mall VIVO, por lo que hay un gran movimiento en horarios punta, pero su ubicación es privilegiada por estar a pasos de todo, incluyendo supermercados, cines y el ""Terminal de Buses"".

A solo minutos , podemos encontrar el Fuerte de Coquimbo, la Cruz del Tercer Milenio, Centro Cultural Mohammed VI (La Mezquita), Gastronomía Típica del Terminal Pesquero, acceso a la playa por la Avenida del Mar, entre otros.","Disfruta de una experiencia con estilo en un espacio céntrico, full equipado y cercano a las mayores atracciones que este pintoresco puerto tiene para conocer. El alojamiento se encuentra a pasos del Mall VIVO y el sector centro de Coquimbo, por lo que prácticamente tienes de todo a tu alcance, incluyendo el ""Terminal de Buses"".

El espacio
Para persona sola o parejas / máx 2 huéspedes. 
- 1 habitación con cama matrimonial

Para reservas de 3 a 4 huéspedes
- 2 habitaciones extra con cama individual

- ropa de cama
- veladores
- armarios
- colgadores de ropa
- toallas de baño
- baño amplio con ducha y agua caliente
- secador de pelo
- cocina equipada
- dispensador de agua purificada
- sala de estar / Smart TV & Streaming
- mesa / artículos de escritorio
- acceso gratuito a WiFi
- estacionamiento gratuito / 1 plaza",['Acceso la playa Público o compartido'],4.94,88,Caro,02-2017,https://www.airbnb.cl/rooms/52188174?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-09&previous_page_section_name=1000
8,Cabaña en Pichidangui Familiar,Casa de huéspedes entero,Pichidangui,6,5,2, Habitación,1,privado,55.0,-32.1423,-71.5225,"https://maps.google.com/maps?ll=-32.1423,-71.5225&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña familiar ideal para un buen descanso, equipada para 5 personas, a 3 minutos caminando a la playa y comercio. Consta de 1 baño completo, cocina, refrigerador, horno microondas, 5 camas ( 1 de 2 plazas en el dormitorio principal y 2 camarotes en el dormitorio secundario). Estacionamiento para 2 autos, internet, cable y espacio de uso privado. 
Somos Pet Friendly con recargo por mascota (agrégala como huésped).
La cabaña se sitúa en un terreno familiar, y los anfitriones están disponibles.",['Vista a la bahía'],5.0,3,Vanessa,09-2016,https://www.airbnb.cl/rooms/754557363388017180?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
9,Cabaña en el Portal del Valle de Elqui,Casa de huéspedes entero,La Serena,4,3,2, Habitación,1,privado,29.7,-29.93048,-71.17061,"https://maps.google.com/maps?ll=-29.93048,-71.17061&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedora cabaña con preciosa vista para 4 personas ubicada en el sector de Quebrada de Monardez, a 1 km de la ruta 41. 2 dorm, 1 cama  de 2p. 2 camas de 1 p-. 2 futones (más de 4 pax se cobra huésped adicional)A  8 - 15 min del centro de La Serena, a 5 m del aeropuerto, y a medio camino hacia el Valle. Indispensable venir en vehículo. Avisar por favor si vienen con mascotas, maximo 2,  pero siempre se debe notificar. Hay wifi y smart TV. 
Tenemos un cactáreo con bellas suculentas a la venta!


Es muy buen lugar para desconectarse, te evitas buen parte del taco al Valle, sobre todo el q se forma cerca del Aeropuerto. Hay linda vista, puedes venir con tus mascotas pero debes indicar cuántas son. Ideal no mas de 2 x temas de espacio.",['Cocina'],4.86,14,María Graciela,09-2015,https://www.airbnb.cl/rooms/569523416681349029?adults=1&children=0&infants=0&pets=0&check_in=2023-02-22&check_out=2023-03-01&previous_page_section_name=1000
10,Acogedora casa,Casa de huéspedes entero,Vicuña,4,3,2, Habitación,1,privado,55.0,-30.02936,-70.68342,"https://maps.google.com/maps?ll=-30.02936,-70.68342&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,Relájate con toda la familia en este tranquilo lugar para quedarse.,['Cocina'],4.67,9,Francisca,01-2022,https://www.airbnb.cl/rooms/665360413553187405?adults=1&children=0&infants=0&pets=0&check_in=2023-04-10&check_out=2023-04-16&previous_page_section_name=1000
